First Name,Second Name,Company,Position,Description,Tags
Tony,Poulos,Disruptive.Asia,Managing Editor,"Tony Poulos has a background of over 30 years in software development and systems integration in travel and telecommunications. He has worked in the areas of BSS, ICT, revenue assurance, billing, payments, content delivery, customer experience, transformation and risk.

Tony is a regular speaker, moderator and chairman at telco and finance conferences worldwide, including plenary sessions at Mobile World Congress in Barcelona and Shanghai, ITU Telecoms World and CommunicAsia. He has been a Contributing Analyst for IDC, writes freelance for a number of industry publications and records numerous video interviews.

Tony holds consultative roles with a number of tech firms and is managing editor of Disruptive.Asia.",User ExperienceMarketing/AdvertisingMedia/Content/EntertainmentGaming/Virtual Reality/ARLocation Based ServicesApp/Software DevelopmentCloud ServicesFuture Services ProviderApplied AI
Magnus,Jern,DMI,Chief Innovation Officer,,Applied AI
Asher,Hasan,DoctHers,Managing Director,,Big Data & AnalyticsUser ExperienceEnterprise & Business ITConnected Living – WearablesConnected Living – mHealthGaming/Virtual Reality/ARSecurityDevicesTech in Society
Dave,Ranyard,Dream Reality Interactive,CEO,"Dr. Dave is the CEO of independent AR + VR studio, Dream Reality Interactive. The studio is based in London and its mission is to create compelling Augmented and Virtual Reality experiences that focus on natural interaction, believable worlds and shared experiences with a special interest in AI. The team released their first project in December, the AR game 'Orbu' and have also been working on VR experience, ‘Hold The World’, in association with Factory 42, Sky TV, The Natural History Museum and world renowned Sir David Attenborough.
Prior to founding Dream Reality Interactive, Dave was the director of Sony's London Studio where he played a key part in developing AR games with Sony's Wonderbook and Eye Toy and oversaw Sony’s initial ventures into VR, directing the studio that developed the best-selling PSVR launch title 'PlayStation VR Worlds', featuring the critically acclaimed 'London Heist' and 'Ocean Descent'.
Having studied at Leeds University, Dave obtained a 1st in computer science and PhD in Artificial Intelligence. Before heading up London Studio, he had been a research fellow, programmer, audio manager & musician, creative services manager, executive producer (SingStar & Wonderbook) and released a number of records.
Dave is an active member of the game development industry, holding positions on the BAFTA Games Committee, the Game Developers Conference (San Francisco), Virtual Reality Developers Conference, and the Virtual Reality World Congress.",Content & Media
Leif,Bohlin,eBuilder,CEO,"Leif Bohlin is Chief Executive Officer (CEO) of the eBuilder Group. Leif Bohlin has more than 20 years of global experience from telecom, BPO, procurement and supply chain industries. As the CEO of eBuilder Leif is resolute about creating a better customer experience for smartphone users built on deep understanding of device insights and behavior.
Prior to joining eBuilder, Leif was Senior Vice President, and member of Capgemini BPO Executive Management heading the global Business unit Procure and Supply Chain. He led the development of Capgemini’s Procurement as a Service™ practice, leveraging Capgemini’s procurement outsourcing capabilities with solid consulting know-how, best-practice processes and on-demand software. Before joining Cap Gemini, Leif was part of starting and later the CEO of IBX Group a world leading provider of SaaS e-Procurement solutions. Leif also brings solid industry background from the automotive industry. He spent several years at various positions at Saab and General Motors. Leif acquired his expert qualifications at AT Kearney and Booz-Allen Hamilton as a management consultant.
Leif Bohlin holds an MSc in Business Administration and Economics from School of Economics, Gothenburg University.",Applied AI
Hayim,Porat,ECI Telecom,CTO,,WiFiBig Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Geoff,Ramsey,eMarketer,Chief Innovation Officer & Co-Founder,,Applied AI
José,Lorenzo,"EPEL - Centers of Arts, Culture and Tourism of Lanzarote",CEO,,
Börje,Ekholm,Ericsson,President & CEO,,
Elaine,Weidman-Grunewald,Ericsson,"Head of Ericsson Response, SVP, Chief Sustainability & Public Affairs Office","Senior Vice President, Chief Sustainability and Public Affairs Officer, and Head of Group Function Sustainability and Public Affairs.

Elaine Weidman-Grunewald heads Ericsson’s Sustainability and Public Affairs efforts and is also Head of Ericsson Response, the company's humanitarian and disaster response program.
She has worked for Ericsson in the US and Sweden for over 18 years. During this time she has held various positions in the company ranging from Environmental Product Management to Sales and Marketing. Since 2005 her work has focused exclusively on driving Ericsson’s sustainability and CR initiatives.  She has been  reporting to the CEO since 2012, and a has been member of the Global Leadership Team since 2014. As of July 1, 2016 she is part of the Ericsson Executive Leadership Team.  She is also a member of the Group Crisis Management Council.

Ms. Weidman-Grunewald’s focus is on the impact that Information and Communication Technology (ICT) can play in addressing global challenges in areas such as poverty, development, girls’ education, humanitarian response, peace building, and climate change. From a Corporate Responsibility perspective she ensures adequate company policies and proactive programs are in place to minimize and mitigate risks in areas like health and safety, environment and human rights.",Big Data & AnalyticsUser ExperienceEnterprise & Business ITNetwork TechnologyNext Generation NetworksSecurityEducationTech in Society
Erik,Ekudden,Ericsson,Group CTO and Head of Technology & Architecture ,,5GIoTThe Network
Fredrik,Jejdling,Ericsson,VP & Head of Business Area Networks,,5GNetwork TechnologyNext Generation NetworksOSS/BSSIoTThe Network
Pernilla,Jonsson,Ericsson,Head of Consumer Lab,,The Digital Consumer
Rafiah,Ibrahim,Ericsson,Senior VP and Head of Market Area Middle East & Africa,"Rafiah Ibrahim is the President and Head of Market Area Middle East & Africa and a member of Ericsson’s Executive Team. Ibrahim assumed this role on April 01, 2017. Prior to that, she served as the President and Head of Ericsson Region Middle East since July 01, 2014.

Ibrahim is a passionate leader in technologies and services that deliver value to customers and enable positive change on people and society. She thrives on building high performance teams and delivering strong execution.

Ibrahim has more than 36 years of experience in the telecommunications industry particularly in networks & digital services and in many areas such as sales, industry transformation and customer relations.

She has held various leadership positions within the Ericsson Group since 1996. Throughout her career, she has worked in many countries across different continents (Malaysia, Bangladesh, UK, Middle East and Africa). Ibrahim started her career in 1981 with Telekom Malaysia where she spent 16 years in several areas such as technology, sales and marketing, and international acquisitions. She joined Ericsson in Malaysia in 1996, where she held several positions within Ericsson Academy and heading up the Enterprise Division. In 2004 she was named Head of Ericsson in Bangladesh. In 2006, she moved to Abu Dhabi to run the Global Customer Unit for Warid, with business in Asia and Africa. In 2008 she was appointed Head of Market Unit North Africa, where she was responsible for Ericsson’s business in 11 countries, maintaining a strong market share for Ericsson. From 2010 to 2013, Rafiah was responsible for the Global Customer Unit Etisalat located in Abu Dhabi and during 2013 Ibrahim lead the Marketing function for Business Line Broadcast Services from London and was the Head of Sales Excellence, with the integration of Red Bee Media.

Ibrahim graduated from the Imperial College of Science and Technology, University of London, United Kingdom, with a master’s degree in Digital Communication Engineering.",Tech in Society
Ulf,Ewaldsson,Ericsson,SVP & Head of Business Area Digital Services ,,WiFiEnterprise & Business ITConnected Living – Smart Cities5GNetwork TechnologyNext Generation NetworksOSS/BSSThe Network
Luis,Vives,ESADE,Associate Professor,"Dr. Luis Vives, is the Associate Dean of The ESADE MBA, Director of the Multinational MBA and Associate Professor of Strategy and General Management at ESADE Business School. 

 

Previous to joining ESADE, Dr. Vives was a Postdoctoral Fellow at the Sloan School of Management at the Massachusetts Institute of Technology (MIT), and holds a PhD from IESE Business School, and Bachelor degrees in Business Administration, Piano Performance and Music Theory. He has been a visiting professor at different Universities in Europe and Latin America.

 

Professor Vives has designed, taught and consulted multinational companies and organizations in different sectors including the FIA, Maersk Group, Bayer, Telefonica, O2 and Roland DG, among others. 

 

His research focuses on the creation and development of innovative business models. His work has appeared in: Sloan Management Review, Journal of Organizational Behavior, Long Range Planning, Advances in International Management, Advances in Strategic Management, Academy of Management Perspectives, as well as in several books on international business.

 

As a Strategy expert, he has worked with CEOs and top management teams to discuss, challenge, and escalate their thinking about strategy and talent development",Innovation
Ahmed,Ali,Etisalat,SVP Corporate Communications & Official Spokesperson,,Big Data & AnalyticsUser ExperienceEnterprise & Business ITNetwork TechnologyNext Generation NetworksSecurityEducationTech in Society
Hatem,Bamatraf,Etisalat,Group CTO,,WiFiBig Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Kamal,Shehadi,Etisalat,Chief Legal & Regulatory Officer,,5GNetwork TechnologyNext Generation NetworksOSS/BSSIoTThe Network
Andrus,Ansip,European Commission,VP of the Commission and Commissioner for Digital Single Market,,Tech in Society
Mariya,Gabriel,European Commission,Commissioner for Digital Economy and Society,,The Fourth Industrial Revolution
Apostolos,Malatras,European Union Agency for Network & Information Security,Network and Information Security Expert,"Dr Apostolos Malatras is an Expert in Network and Information Security with the Secure Infrastructure & Services Unit at ENISA (European Network and Information Security Agency). His main areas of focus include Cyber Security of the Internet of Things and Smart Transport. He holds a BSc in Computer Science, an MSc in Information Systems and a PhD degree in Electronic Engineering. He has worked for many years in the industry, academia, and the EC. He is the author and co-author of more than 60 research papers and scientific reports on security of Internet of Things, botnets, smart environments, and network management.",
Karel,Obluk,Evolution Equity,Partner,"Karel Obluk is a computer scientist by training, security expert by experience. He is now working with top entrepreneurs and help them grow their businesses to become world leaders as part of the Evolution Equity VC fund. His past experience was from AVG Technologies (NYSE:AVG) where he served as a CTO, Chief Scientists and for more than a year also a iCEO. More recently, he invested in technology companies that applied new innovative approaches to security, such as Cognitive Security – acquired by Cisco Systems (NASDAQ:CSCO), SecurityScorecard or OpenDNS. Their growth stage fund focuses mostly on IT security, enterprise software, big data analytics and other related areas, helping primarily businesses from the United States and Europe.",Innovation
Stephen,Buck,Evolved Intelligence,Product Director,,WiFiBig Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Alison,Wedgwood,eWATERpay Ltd,CEO,"I am the CEO of eWATERpay Ltd  a UK tech start up revolutionising the delivery of water in rural sub-Saharan Africa. I have put in £500,000 of my own money and we have raised £350,000 of Angel funding, and are now looking to initiate a Series A fund round. Recently we have been advised by a Senior partner at Deloittes, and our new COO was, until three weeks ago the Commander of the UK Navy Maritime Fleet, Rear Admiral Alex Burton.

eWater (http://www.ewaterpay.com/), recently featured on the BBC news (click for link to video) and in the Economist (click for link to article), has also recently won the RELX Group Environmental Sustainability Prize 2017 which was presented in Stockholm at the UN CEO Water Mandate conference at World Water Week (click for link to article).

eWATERpay  is a pre-payment smart meter that can be fitted onto taps on any piped water systems in rural or urban areas of developing countries. It allows very low income households to pay affordable sums for water through loading their smart cards with eWATERcredit.   The unique combination of three technologies integrating mobile and contactless pay technology,  and IOT connectivity  ensures the transparent collection of consumers’ water fees to fund the maintenance of water systems. Currently, $20 billion is invested in new water supply infrastructure in sub-Saharan Africa per annum, but within three years, 40% of these systems are broken because there is no funded maintenance. eWATERpay solves this problem by ensuring  revenue is tracked and accountable and transparently used by water Ministries, or private water utilities, to pay for continued maintenance.  

The technology is proven and currently operating in the most remote, fragile communities, supported by eWaterCare live cloud reporting, which allows 100% tracking of revenue, flow rates and usage. This functionality and data generation provides water practitioners with an intuitive data dashboard sending out automated alerts to enable full management of O&M. The team has achieved installation of more than 100 taps in Tanzania and Gambia serving more than 20,000 people in 9 villages. It has a contract for a further five villages in Tanzania, several more contracts in the pipeline and a significant volume of expressions of interest. eWaterPay is ready to go to scale, guarantee truly sustainable clean water for 3 million people by 2020 and offer very credible returns for an investor.

eWATERpay encourages a private, efficient water market to emerge serving the 1 billion people that do not have access to reliable, affordable water.  We have proven to utilities that having a low cost pre-payment tap improves revenue collection by 341%, reduces water waste, increases access to water from 4 hours to 24 hours per day,  reduces the time taken to fetch water from 3 hours to 10 minutes,  and reduces repair times from 2 weeks to 5 hours.

We are seeking  an equity investor to help us to  scale our business and accelerate sales. Our successful trials put us in a position where we a poised for significant growth with the right investor providing both investment and support. 

 

 

 

eWaterPay uses mobile and contactless pay technology and IOT connectivity to ensure the transparent and accountable collection of user fees in order to fund the maintenance of water systems, with live dashboards showing how the taps are performing. Instant notification of faults in the system and information transfer via eWaterPay App notifies the local technician to ensure un-interrupted supply.

 

The technology is proven and currently operating in the most remote, fragile communities, supported by eWaterCare live cloud reporting, which allows 100% tracking of revenue, flow rates and usage. This functionality and data generation provides water practitioners with an intuitive data dashboard sending out automated alerts to enable full management of O&M. The team has achieved installation of more than 100 taps in Tanzania and Gambia serving more than 20,000 people in 9 villages. It has a contract for a further five villages in Tanzania, several more contracts in the pipeline and a significant volume of expressions of interest. eWaterPay is ready to go to scale, guarantee truly sustainable clean water for 3 million people by 2020 and offer very credible returns for an investor.

 

eWater has a very experienced management team, bringing smart and user friendly technology to the market and is leading the market, supported by strong cooperation partners. Requests for eWaterPay have come from USAID, DFID, The World Bank, the governments of Tanzania, Nigeria, Uganda, Australia, Haiti and many NGOS.",Innovation
Godfrey,Mutabazi,Executive Director (CEO),Uganda Communications Commission (UCC),,Tech in Society
Tormod,Larsen,ExteNet Systems,"Vice President, Chief Technology Officer","Tormod is CTO for ExteNet Systems, providing distributed networks to the NA wireless industry, bringing significant experience with distributed networks.  He was previously responsible for building the Coverage Systems Division at Allgon Ltd, and at Siemens AG, held positions with focus on distributed antenna systems and wireless communication in confined environments.",5GNetwork TechnologyNext Generation NetworksThe Network
Janet,Balis,EY,"Partner/Principal, Global Advisory Leader for Media & Entertainment","Janet Balis is an accomplished media executive who currently serves as a partner in EY’s Advisory Services leading the global consulting business for the media and entertainment industry.  The practice works across a broad range of clients including agencies, broadcast and cable networks, cable and satellite providers, and publishers.

A passionate advocate for gender parity, Janet sits on the board of She Runs It (formerly Advertising Women of New York) an organization with a core mission of advancing women to leadership positions. As part of this role, she’s a frequent mentor and coach to women across the country and a speaker on issues of gender equality. In 2016, Janet worked on behalf of EY and She Runs It, in collaboration with LinkedIn, to develop a study focused on “Accelerating the Path to Leadership for Women in Marketing and Media.”

Janet has an MBA from Harvard Business School and a BA from Columbia University.  She is also on the boards of PRX and the International Academy of Arts and Sciences, and serves as an advisor to the Harvard Business School Digital Initiative.  She was named one of the 2017 Women of Excellence by the National Association of Female Executives (NAFE) as Global Women’s Envoy, a 2010 Advertising Age Women to Watch, and a 2006 Crains 40 Under 40.

Quotes:

“Fundamentally, technology is about connections, and women are uniquely qualified to build connections between people and ideas. If we don’t unlock the power of diversity to capture creativity and drive technology forward, we will hold back the future of all industries.”

“Women are great storytellers, and technology is more than code. We have to unlock the power of diverse talent to use technology to make stories truly come to life.”

“It’s time to stop admiring the problem.  We need to focus on substantive things we can all do – as individuals and organizations – to change the outcome around gender parity.  It’s ok to be very impatient.”",
Alison,Kay,EY UK,Global Vice Chair - Industry,"Recently appointed to the Global Executive leadership team of EY, Alison Kay helps companies to navigate the commercial impact of disruptive technologies, which are connecting businesses, governments and societies in new ways and ushering in a transformative age. In her role as Global Vice-Chair of Industry at EY, she oversees more than 52,000 industry specialists and helps ensure that EY stays at the forefront of disruption and convergence issues, as well as developing innovative solutions across industries.

A passionate advocate for diversity and inclusiveness, Alison was named one of LinkedIn’s Top Voices for 2016 in the UK and is a frequent speaker at conferences and seminars. She is a firm believer in the importance of mentoring and coaching women in the middle tiers of an organization, and has pledged to improve the number of women in the talent pipeline at EY. She launched EY’s Women in Power and Utilities (P&U) Index, which tracked diversity in the boardrooms of global P&U companies as well as the business case for improving gender diversity.

A graduate from the UK’s University of Sheffield, Alison also holds an MBA from the Manchester Business School. She is married with two children, and is an accomplished pianist and a Fellow of the Royal College of Music.

 

 

INSPIRATIONAL QUOTES BY ALISON KAY

 

“Gender parity will only become a reality when both men and women understand its value and take action. Only by pulling together can we tackle problems such as unconscious bias and how it affects the people we network with and promote.” (Executive Vine: Ten Top Tips for Women in Business, 17 June 2017)

 

“They say fortune favors the brave, and it’s only by taking risks that you earn your place in this competitive global workplace.” (Executive Vine: Ten Top Tips for Women in Business, 17 June 2017)

 

“At key times in my career, I’ve wondered whether I can manage more, and at times I’ve questioned whether or not I should take the next step. At these times I think about [my role models] and realize that such moves are worth the risk.” (FT: Women in Business — Alison Kay, 14 August 2015)",
Jason,Juma-Ross,Facebook,APAC Head of Tech & Telecom Strategy,"Jason is Facebook's APAC Head of Technology Industry Strategy. He works on commercialization of Facebook's apps & services across the Tech, Telecoms & Media sectors. He has hands on experience in digital and mobile gained over 20 years' work in the industry with start-ups, large enterprise, and the public sector.
Jason's work in the tech, media, and telco, have taken him to North America, Europe and APAC. He has worked closely with leading consumer technology, telcos, media, entertainment, music, and gaming companies as a strategist, industry analyst, and business executive.",Content & Media
Julien,Decot,Facebook,"Director of Product Partnerships, EMEA","Julien is a veteran internet executive with more than 10 years’ experience working in Silicon Valley, in multiple senior roles in large consumer internet companies including Amazon.com, eBay and Skype. He joined Skype in 2007 where he built the team in charge of Strategy, Business Development and Corporate Development, and managed the strategic partnership between Skype and Facebook. Prior to joining Facebook, he founded a mobile messaging company called TextMe, which reached 40M users and is now a profitable and successful business. In his role as Director of Product Partnerships, EMEA, at Facebook, Julien helps companies of all sizes use Facebook’s platform to build, grow and monetise their products.",Innovation
Uche,Ofodile,Facebook,"Regional Head, Africa","Uche Ofodile, Regional Head Africa for Express Wi-Fi, is a senior business leader with extensive expertise in building businesses in emerging markets. With 10 years in CEO, CMO, and CCO roles, she has been the driving force behind transformative change in blue-chip multinationalcompanies.

Uche was raised and educated in the United States, earning a bachelor’s degree from Ramapo College in New Jersey and, later, a Strategic Marketing Diploma from Columbia University. 

An early career in marketing, advertising, and public relations gave Uche a diverse foundation in the automotive, consulting, higher education, and broadcasting industries. In 2002, Uche accepted her first position in Africa as a Corporate Brand Manager. This was the first step on a path that led to a meteoric rise to senior leadership positions with some of the continent’s fastest-growing companies.

As the Chief Commercial Officer with MTS, Uche was instrumental in restructuring the business and relaunching the brand to capture game-changing growth in revenues, brand recognition, and customers. A transition into the food and beverage industry saw Uche serve as the Executive Marketing Director for a high-growth start-up. She spurred significant top-line growth and introduced a first-of-its-kind retail initiative in the Nigerian market to support the company’s aggressive 5-year growth plan.

One of her hallmark achievements is the transformation of Vodafone Ghana from a struggling business, with deteriorating market share, into the country’s #2 telecommunications provider. As Chief Marketing Officer, Uche was instrumental is delivering 3 consecutive years of double-digit revenue growth, resulting in significant awards such as ""Telecommunications Company of the Year,"" ""Best Telecom Brand,"" and ""Most Admired Brand.""

Uche was recruited to serve as CEO of Tigo DRC and transform the business. In 18 months, she rebuilt the business strategy, ignited 20% year-over-year growth, positioned the company for rapid market share gains, and revitalized the workforce through strategic cultural and diversity programs. These strong commercial results catalyzed the acquisition of the company by Orange, the French multinational telecom giant, to deliver significant value to shareholders.",
Ebele,Okobi,"Facebook, Inc.","Head of Public Policy, Africa","Ebele Okobi is Facebook’s Public Policy Director, Africa. Previously, she was a Senior Legal Director and Global Head of Human Rights at Yahoo, a corporate securities and mergers and acquisitions lawyer at Davis Polk & Wardwell in New York, Paris and London; a consumer rights policy fellow at Consumers Union in San Francisco; a senior director at Catalyst in Silicon Valley/Amsterdam and an MDP in Nike’s EMEA headquarters. She was a founding board member of the Global Network Initiative, is a life member of the Council on Foreign Relations, and a member of Junior Achievement Africa’s Board and the Alliance for an Affordable Internet’s Advisory Board. She attended the University of Southern California, Columbia Law School and HEC-Paris.",Tech in Society
Bum,Lee,Fairip,CEO,"Bumjun Lee is the founder CEO Computer Programmer of Fairip 

 

He was in charge of developing the web server at LG CNS and Samsung Electronics for 8 years.

Although virtual reality technology is evolving, he will create a new way of learning English because he has many technical difficulties as well.

 

He is confident that the market will expand after seeing data from market research institutions on the size of the English education market.

 

His purpose is to provide easy and interesting contents centered on learners to ensure that everyone experiences equal foreign language learning effects.",Innovation
Mike,Lee,FarEasTone,Executive Vice President ,"Mike Lee joined FarEasTone in November 2011 as the Executive Vice President of Enterprise & Carrier BU.

Before joining FarEasTone, Dr. Mike Lee had an outstanding career and excellent management experiences in communication and internet industry. He led Tuntex Telecom establish the GSM 1800 network in central and south Taiwan, and then assisted NCIC to get fixed network license in 2000. He operated the largest B2B e-auction site in Taiwan while working as the President of Com2B Corp.  He was the President of FETC for more than 4 years starting 2007. During his tenure, he acquired over 1.3 million customers.

Dr. Mike Lee holds both Master degree and Doctor of Philosophy in Electrical Engineering from SUNY, Stony Brook. He also has a Bachelor degree in Electrical Engineering from National Taiwan UniversityMike Lee joined FarEasTone in November 2011 as the Executive Vice President of Enterprise & Carrier BU.

Before joining FarEasTone, Dr. Mike Lee had an outstanding career and excellent management experiences in communication and internet industry. He led Tuntex Telecom establish the GSM 1800 network in central and south Taiwan, and then assisted NCIC to get fixed network license in 2000. He operated the largest B2B e-auction site in Taiwan while working as the President of Com2B Corp.  He was the President of FETC for more than 4 years starting 2007. During his tenure, he acquired over 1.3 million customers.
Dr. Mike Lee holds both Master degree and Doctor of Philosophy in Electrical Engineering from SUNY, Stony Brook. He also has a Bachelor degree in Electrical Engineering from National Taiwan University",
Ghela,Boskovich,FemTech Global,Founder,"Ghela is active in the fintech industry, having spent the last ten years focused on business development for core insurance and banking system solutions, the last half of which has centered on financial services pricing governance functionality. Ghela also founded FemTechGlobal to bridge the gender gap in fintech and the financial services industry and was named one of Brummell Magazine’s 2016 ‘30 Inspirational Women Innovators’, and included in Innovate Finance’s Women in Fintech Powerlist 2016 & 2017. She is a regular contributor to fintech publications and discussions, specializing in dynamic pricing and customer centricity. Ghela is Head of Fintech/Regtech Partnerships at Rainmaking, home of Startupbootcamp.",Big Data & AnalyticsUser ExperienceSecurityConsumer goodsDevicesIoTThe Digital Consumer
Jit,Bhattacharya,Fenix International,CTO,"Jit Bhattacharya has served as the Chief Technology Officer at Fenix International since early 2017. As CTO, Jit leads Fenix’s technology and product strategy in solar home systems, energy efficient appliances, mobile payment scoring, and consumer credit scoring. Jit came to Fenix International with over 10 years of leadership experience in cleantech and product development from the Silicon Valley. Prior to Fenix, Jit served as CEO of Mission Motors, a company developing state-of-the-art electric vehicle technology for major vehicle OEMs around world. Mission Motors was best known for development of the Mission R electric racing motorcycle, one of the highest performing electric vehicles ever made. Jit also worked as a senior manager in the Special Projects Group at Apple, helping to develop Apple’s next-generation products. Prior to his roles in Silicon Valley, Jit consulted on off-grid electrification projects in rural South Africa. Jit earned an M.S. in mechanical engineering from Stanford and an MBA from UC Berkeley’s Haas School of Business. He continues to serve as an advisor to cleantech startup companies and programs across Silicon Valley.",Big Data & AnalyticsmBanking/FinanceUser ExperienceConnected Living – WearablesMarketing/AdvertisingLocation Based ServicesConsumer goodsIoTThe Digital Consumer
Ed,Richards,Flint Global,Managing Partner,,Tech in Society
Stephen,Stokols,FreedomPop,Founder & CEO,,Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSConsumer goodsApp/Software DevelopmentFuture Services Provider
Carsten,Ahrens,G&D;,CEO,,
Carsten,Ahrens,Giesecke & Devrient ,Group Senior Vice President ,,
Kim,Faura,giffgaff,Chief Commercial Officer,"Chief Commercial Officer and founding member of giffgaff, a unique business that runs in collaboration with its members.
giffgaff has been Which? Recommended provider from 2012-2017 and won the uSwitch Award for Network of the year from 2016-2017

Originally from Barcelona, studied at ESADE business school and worked for PepsiCo Iberia before joining giffgaff.

Lives in West Hertfordshire, has recently become a British citizen but still a big Barça fan.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSConsumer goodsApp/Software DevelopmentFuture Services Provider
Peter,Jarich,Global Data,Chief Analyst,,Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityApp/Software DevelopmentFuture Services Provider
Claire,Melamed,Global Partnership for Sustainable Development Data (GPSDD),"Executive Director, Data4sdgs",,Tech in Society
Joerg,Brinkmeyer,Globe UAV GmbH ,,"Joerg Brinkmeyer is a self-made engineer that has 15 years of experience in the RC products world, creating new features. Now involved in the 4G LTE control and video streaming for 4 years, Globe UAV GmbH is leader in the market with the lowest latency delay ever.",
Talia,Wise,Globetouch,"Associate VP, Marketing","In her role as Associate Vice President of Marketing, Talia Wise uses her experience in brand development and marketing processes to help drive IoT global connectivity at Globetouch, a Bay Area company founded in 2012 to provide a global ecosystem for M2M and IoT devices. Wise has been supporting startups, SMBs, and enterprise marketing and communication agencies for almost two decades, most recently as a Silicon Valley consultant for a variety of industry domains and technologies. She holds a BA from University of California, Santa Cruz and an MBA from San Jose State University.",Innovation
Brigitte,Baumann,Go Beyond Early Stage Investing,Founder & Chief Investment Officer,"Founder & Chief Investment Officer, European Angel Investor of the Year Brigitte is the Founder and CEO of Go Beyond Early Stage Investing, www.go-beyond.biz, (see video) . Go Beyond enables novice & experienced, small & large investors, to access angel investing as an asset class through its unique platform, tools, training and expert angels. Go Beyond works with individual investors, family offices, professional groups/associations and corporations. Go Beyond operates in Europe and the US. Its team is comprised of seasoned business angels and is the subject of a Harvard Business School case. Brigitte is a Business Angel since 2003 and has received The European Investor of the Year from EBAN in May 2015.  Brigitte is President Emeritus of EBAN, the European trade association for Business Angels and Seed Funds www.eban.org   Brigitte Chairs Young Presidents Organization’s www.ypo.org  global Angel Investing group.",Innovation
Nick,Fox,Google,"VP, Product Management",,The Digital Consumer
Jonas,Allen,Green Electronics Council,,"As the Green Electronics Council’s Director of Manufacturer Relations, Jonas works with global brands to encourage sustainability innovation and foster market recognition for their accomplishments. His primary responsibility is supporting the growth of EPEAT, the leading global IT ecolabel. In addition, Jonas manages GEC’s Catalyst Awards, a global program that honors sustainability progress in the design and use of ICT products. His work balances the mission- and growth-related objectives of GEC with those of industry and the planet. Jonas has more than 17 years of award-winning communications experience with regional and global technology companies.",Connected Living – Smart CitiesTech in Society
Afke,Schaart,GSMA,Head of Europe,,5GIoTThe Network
Brett,Tarnutzer,GSMA,Head of Spectrum,"Brett directs the association’s full range of spectrum-related activities, in collaboration with the GSMA membership.

Under Brett’s leadership, the spectrum team is focusing on areas such as the cost of access to spectrum. How regulators decide to determine the cost of access to spectrum bands has a big impact on the evolution of mobile services. It is essential that these costs are determined in a way that takes account of the necessary network investment that drives excellent service coverage. The team also works to facilitate the deployment of mobile spectrum bands and identify new bands, including preparing for World Radiocommunication Conference 2019, where spectrum for 5G will be a hot topic. 

Prior to the GSMA, Brett worked for the US Federal Communications Commission (FCC) as Assistant Chief of the Wireless Telecommunications Bureau, dealing with a wide range of spectrum-related issues including designing the first-ever incentive auction for transferring spectrum from broadcast to mobile use.",5GIoTThe Network
Daniel,Pataki,GSMA,"Vice President, Policy and Regulation","Daniel leads the GSMA’s global engagement on mobile-sector regulatory affairs. Under his direction, the GSMA is contributing new ideas and analysis to the global policy dialogue at a time when emerging digital technologies and widespread broadband connectivity are reshaping society and the economy.

Daniel has a unique record of strategic input into Europe’s telecommunications policy agenda, having previously served as head of Hungary’s National Regulatory Authority, chair of the European Regulators Group (ERG, now BEREC) and chair of the European Radio Spectrum Policy Group (RSPG). More recently, Daniel was Director General of the European Telecommunications Network Operators’ association (ETNO).

He holds a MSc in Economics from the Budapest University of Economics and a Postgraduate Diploma from a leading French institutional programme led by Ecole de Mines, Ecole des Ponts and Sciences-Po.

He was awarded the Officer’s Cross of the Order of the Republic of Hungary in 2009 for his work in EU electronic communication regulation and the Order of Merit (Knight’s Cross) of the Republic of Hungary in 2005 for his work promoting the development of the information and communications technology sector.",Tech in Society
Graham,Trickey,GSMA,Head of Internet of Things,"Graham Trickey is Head of the Internet of Things Programme at the GSMA. He works closely with network operators and the mobile ecosystem to help accelerate the delivery of compelling and secure IoT solutions. He oversees a number of industry focused initiatives designed to support the growth of the IoT.
Graham has worked at the GSMA for 14 years. He previously led the GSMA’s Future Networks Programme that aims to create global IP based services, such as VoLTE and RCS, and assist with the evaluation and adoption of interconnected operator IP services. Prior to that he led the GSMA’s Open Network Enabler API (OneAPI) project, that defines a commonly supported set of lightweight and Web friendly APIs, enabling mobile and other network operators to expose useful network information and capabilities to web application developers.
Before joining the GSMA in 2001, Graham worked at Motorola for eight years as Director of End-to-End Solutions. He has also worked for major names like Inmos, ST Microelectronics, Texas Instruments and Intel.",
