word-list,list of words,our words,missing from our words
Redneck Vocabulary Words,"Far: If he dont turn that stove down, them chickens will catch far.
Bard: Cousin Jesse bard money from me and I aint seent him since.
Ranch: Go in the back of my truck and get that ranch!
Munts: Its been four munts since I heard from my brother.
All: Im gonna need me a all change on that truck.
Ahz: I cant see nuthin out these ahz.
Bawl: You gotta bawl that water fo you put in the egg.
Own: Turn them lights own.
Nekkid: There he was nekkid as a jaybird.
Hep: HEP! Theres a far!
Shevuhlay: I got me a new shevuhlay pickup!
Tar: He got him a flat tar!
Uhmurkin: Wes uhmurkin, born and raised in the United States of Uhmurka!
Spearmint: Billy Ray doin some type of spearmint in school.
Clinics: You got any clinics so I could wipe my nose?
Co-Cola: Yall want some co-cola? Its nice and cold.
Bar Code: Dems fightin rules at the bar.
Bare: Gimme a bare  Michelob!
Barium: Jimmy- they just barium at the cemetery.
Bleeve: Does you bleeve in ghosts?
Did: You got that fox Jim he did, not movin at all.
Fat: Ifn yall dont stop fatn Im comin down there.
Gubmint: Casey dun got a gubmint job.
Farn: I aint unnerstand nuthin he sedmust be some farn talk.
Hale: What da hale is goin on here?
Hot: Heidi she got a broken hot.
Kumpny: We gots kumpny coming over tonight.
Likker: He drank mo likker than I does.
Phraisin: Its phraisin in here!
Rats: They was fatn for they rats in the Civil war.
Tarred: I bin workin all day. I sure am tarred.
Thank: I thank I wanna ice cold bare.
Seed: I aint never seed this before.
Zat: Zat yo car?",,
Spooky Halloween Words,"At first cock-crow the ghosts must go. Back to their quiet graves below. - Theodosia Garrison
When witches go riding, and black cats are seen. The moon laughs and whispers, tis near Halloween. - 19th century postcard
Double, double toil and trouble; Fire burn and cauldron bubble. -Shakespeare from ""Macbeth""
As I was going up the stair, I met a man who wasn't there. He wasn't there again today...Oh, how I wish he'd go away. - Anonymous
Shadows of a thousand years rise again unseen Voices whisper in the trees, ""Tonight is Halloween!"" - Dexter Kozen
My candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open... - Mary Shelley from Frankenstein
Eye of newt, and toe of frog, Wool of bat, and tongue of dog, Adder's fork, and blind-worm's sting, Lizard's leg, and owlet's wing, For a charm of powerful trouble, Like a hell-broth boil and bubble. - Shakespeare
Death will slay with his wings whoever disturbs the peace of the Pharaoh. - curse written at Tutankhamens tomb
She just goes a little mad sometimes. We all go a little mad sometimes. Haven't you? - Norman Bates from the movie Psycho
The Silence of the Lambs
Psycho
The Exorcist
Aliens
The Shining
A Nightmare on Elm Street
Night of the Living Dead",,
Vocabulary Flashcards,,,
Vocabulary Words for Thanksgiving,"Autumn
Acorns
Carve
Colonists
Cider
Feast
Cornucopia
Gobble
Mayflower",,
Words Ending in Letter Q,"Unq: The abbreviation for unnilquadium.
.mq: Used in internet addresses to stand for Martinique.
GHQ: General headquarters.
CQ: Letters at the beginning of radio transmissions that are intended for all receivers.
Inupiaq: A group of Eskimos; also the name for their language.
Mi'kmaq: A variation on Micmac, a group of Native Americans residing primarily in Canadian provinces.
Zia ul-Haq: A Pakistani president from 1978 until 1988.
Suq: Variant of souk; a marketplace in Arab cities.
Talaq: A method of divorce in Islamic law.
Tranq: Short for tranquilizer.
Tsaddiq/tzaddiq: A Hebrew term for a spiritual leader.
Umiaq: A boat made of stretched animal skins by Inuits.",,
Words That Describe Negative Attitudes,"aggression
anger
betrayal
bigotry
blame
cowardice
critical
cynical
depression
dishonesty
envy
greed
guarded
hatred
indifference
intolerance
irresponsibility
jealousy
pessimism
prejudice
pride
resentment
revenge
sadness
selfishness
skeptical
suspicious
thoughtlessness
unemotional
untrusting
",,
Words with Double Letters,"all
add
bee
boo
ell
ebb
egg
fee
goo
too
tee
ball
been
beer
beet
beep
bell
boom
boot
book
bull
butt
call
cell
coon
dell
doll
door
doom
fall
fell
feel
feet
foot
food
fool
fuss
full
gull
gall
hall
hell
heed
heel
hill
hull
hoop
hood
hoof
hoot
Jeff
jeep
Jill
Judd
keen
keel
keep
less
lees
Matt
mall
need
peel
pall
pool
poof
poll
poor
peek
pass
root
reel
reef
reed
roll
room
rood
sass
sell
seen
seem
seed
seek
seer
seep
soon
soot
sill
tall
tell
teen
teem
teed
Todd
tool
wall
well
watt
weed
week
weep
sunny
happy
silly
called
beeped
fooled
seemed
weeded
",,
Words with Multiple Meanings,"Homonyms are words which have the same spelling and pronounciation, but have different meanings.
Homophones are words which have the same pronounication, but different spellings and meanings.
Homographs are words that are spelt the same, but have different pronounications and meanings.
crane: That bird is a crane./They had to use a crane to lift the object./She had to crane her neck to see the movie.
date: Her favorite fruit to eat is a date./Joe took Alexandria out on a date.
engaged: They got engaged on March 7th./The students were very engaged in the presentation.
foil: Please wrap the sandwich in foil./They learned about the role of a dramatic foil in English class.
leaves: The children love to play in the leaves./They do not like when their father leaves for work.
net: What was your net gain for the year?/Crabbing is easier if you bring a net along.
point: The pencil has a sharp point./It is not polite to point at people.
right: You were right./Make a right turn at the light.
rose: My favorite flower is a rose./He quickly rose from his seat.
type: He can type over 100 words per minute./That dress is really not her type.
pale/pail
ate/eight
alter/altar
band/banned
buy/bye/by
red/read
blew/blue
boar/bore
canon/cannon
coarse/course
fair/fare
genes/jeans
foul/fowl
grate/great
in/inn
hour/our
knight/night
no/know
nose/knows
maize/maze
meddle/metal
rain/reign
sea/see
role/roll
their/there/theyre
veil/vale
read: She is going to read the book later./He read the book last night.
bass: They caught a bass./His voice belongs in the bass section.
bow: She put a bow in her daughter's hair./Please bow down to the emperor.
minute: That is only a minute problem./Wait a minute!
learned: The class learned that information last week./He is a very learned individual.
sewer: The rats crept through the sewer./She is a fine sewer.
wound: They wound up the toy as soon as they got it./She received a wound from the punch.
does: He does his homework every night./There were many does in the forest.
wind: The wind swept up the leaves./Wind the clock up before you go to bed.
sow: A sow is a female pig./We'll sow the seeds in springtime.",,
Basic English List,,,
100 Words Every Middle Schooler Should Know,"adversary
aplomb
apprehensive
aptitude
attentive
banish
barricade
bluff
brackish
brandish
circumference
commotion
concoction
conspicuous
contortion
counter
cunning
debris
defiance
deft
destination
diminish
disdain
dismal
dispel
eavesdrop
egregious
ember
emerge
engross
exasperation
exhilarate
falter
foresight
fragrance
furtive
grueling
gusto
habitation
hasten
headway
ignite
illuminate
impending
imperious
jabber
jargon
jostle
jut
kindle
knoll
luminous
malleable
materialize
meander
meticulous
misgiving
momentum
monotonous
multitude
muster
narrate
obscure
ominous
outlandish
persistent
pertinent
plenteous
potential
precipice
pristine
quell
recluse
recuperate
replenish
repugnant
restitution
sabotage
scarcity
scurry
serenity
sociable
somber
specimen
stamina
subside
swagger
swarm
tactic
terse
translucent
uncanny
unsightly
versatile
vigilant
vulnerable
waft
waver
weather
zeal
",,
Weights and Measures,"A

acre
angstrom
area
B

bale
baker's dozen
barrel
bit
bolt
breadth
bulk
bushel
byte
C

carat
case
centimeter
cord
cord foot
cubic
cubic centimeter
cubic inch
cubic meter
cubic mile
cubic yard
cubit
cup
D

dash
decigram
deciliter
decimal
decimeter
degree
depth
digit
dozen
dram
drop
dry quart
dry gallon
E

em
en
F

fathom
feet
fermi
fluid ounce
folio
foot
furlong
G

gallon
gauge
gill
grain
gram
grit
gross
gross ton
gutenberg
H

hand
hectare
height
hundredweight
I

inch
J

jerib
K

karat
kilo
kilogram
kilometer
knot
L

league
length
light-second
light-year
liquid ounce
liter
M

mass
measure
megameter
megaparsec
megapixel
megaton
meter
metric system
microgram
microliter
micron
mile
milligram
milliliter
millimeter
minute
mole
N

nanometer
nautical mile
nose
O

octad
octant
octave
order of magnitude
ounce
P

palm
parsec
peck
pennyweight
percent
percentile
picogram
picoliter
picometer
pinch
pint
pixel
pound
Q

quadrant
quantity
quart
quarter
quartile
R

radian
ream
rod
ruler
S

sack
scale
score
sheaf
skein
smidgen
smoot
spoon
spoonful
S cont.

square
square centimeter
square foot
square inch
square kilometer
square mile
square yard
stade
standard
stone
T

tablespoon
teaspoon
thermometer
ton
tonne
troy ounce
troy pound
troy weight
U

unit
V

volume
W

weigh
weight
width
Y

yard
yardstick
Z

zoll
",,
Regular Verbs,"accept
ache
acknowledge
act
add
admire
admit
admonish
advise
adopt
affirm
afford
agree
ail
alert
allege
allude
allow
amuse
analyze
announce
annoy
answer
apologize
appeal
appear
applaud
appreciate
approve
argue
arrange
arrest
arrive
articulate
ask
assert
assure
attach
attack
attempt
attend
attract
auction
avoid
avow
babble
back
bake
balance
balk
ban
bang
bandage
bar
bare
bargain
bark
barrage
barter
baste
bat
bathe
battle
bawl
beam
befriend
beg
behave
believe
bellow
belong
berate
besiege
bestow
bleach
bless
blind
blink
blot
blurt
blush
boast
bob
boil
bolt
bomb
book
bore
borrow
bounce
bow
box
brag
brake
branch
brand
breathe
broil
bruise
brush
bubble
bump
burnish
bury
buzz
cajole
calculate
call
camp
care
carry
carve
cause
caution
challenge
change
chant
charge
chase
cheat
check
cheer
chew
chide
chip
choke
chomp
chop
claim
clap
clean
clear
climb
clip
close
coach
coil
collect
color
comb
comfort
command
comment
communicate
compare
compete
complain
complete
concede
concentrate
concern
conclude
concur
confess
confide
confirm
connect
consent
consider
consist
contain
contend
continue
cook
copy
correct
cough
count
counter
cover
covet
crack
crash
crave
crawl
crochet
cross
criticize
croak
cross-examine
crowd
crush
cry
cure
curl
curse
curve
cycle
dam
damage
dance
dare
deal
debate
decay
deceive
decide
decipher
declare
decorate
delay
delight
deliver
demand
deny
depend
describe
desert
deserve
desire
deter
develop
dial
dictate
die
digress
direct
disclose
dislike
dive
divide
divulge
divorce
dock
dole
dote
double
doubt
drag
drain
dress
drip
drill
drone
drop
drown
dry
dupe
dump
dust
dye
earn
echo
edit
educate
elope
embarrass
emigrate
emit
emphasize
employ
empty
enchant
encode
encourage
end
enjoin
enjoy
enter
entertain
enunciate
envy
equivocate
escape
evacuate
evaporate
exaggerate
examine
excite
excuse
exercise
exclaim
exhort
exist
expand
expect
expel
explain
explode
explore
extend
extoll
face
fade
fail
falter
fasten
favor
fax
fear
fence
fetch
file
fill
film
fire
fish
fit
fix
flap
flash
float
flood
floss
flow
flower
fold
follow
fool
force
forgive
form
found
frame
fret
frighten
fry
fume
garden
gasp
gather
gaze
gel
gild
glide
glue
gnaw
grab
grate
grease
greet
grill
grin
grip
groan
growl
grumble
grunt
guarantee
guard
guess
guide
gurgle
gush
hail
hammer
hand
handle
happen
harass
harm
harness
hate
haunt
head
heal
heap
heat
help
highlight
hijack
hinder
hint
hiss
hook
hoot
hop
hope
hover
howl
hug
hum
hunt
hurry
ice
identify
ignore
imagine
immigrate
implore
impress
improve
include
increase
infect
inflate
influence
inform
infuse
inject
injure
inquire
insist
inspect
inspire
instruct
intend
interest
interfere
interject
interrupt
introduce
invent
invest
invite
irritate
iron
itch
jab
jabber
jail
jam
jeer
jest
jog
join
joke
jolt
judge
juggle
jump
kick
kill
kiss
knock
knot
label
lament
land
last
laugh
lean
lecture
level
license
lick
lift
lighten
like
list
listen
live
load
loan
lock
long
look
loosen
love
lower
mail
maintain
man
manage
mar
march
mark
marry
marvel
mate
matter
measure
melt
memorize
mend
mention
merge
milk
mine
miss
mix
moan
moor
mourn
molt
move
mow
mug
multiply
mumble
murder
mutter
nag
nail
name
nap
need
nest
nod
note
notice
number
obey
object
observe
obtain
occur
offend
offer
ogle
oil
omit
open
operate
order
overflow
owe
own
pack
pad
paddle
paint
pant
park
part
pass
paste
pat
pause
peck
pedal
peel
peep
peer
peg
pelt
perform
permit
pester
pet
phone
pick
pinch
pine
place
plan
plant
play
plead
please
pledge
plow
plug
point
poke
polish
ponder
pop
possess
post
postulate
pour
practice
pray
preach
precede
predict
prefer
prepare
present
preserve
press
pretend
prevent
prick
print
proceed
proclaim
produce
profess
program
promise
propose
protect
protest
provide
pry
pull
pump
punch
puncture
punish
push
question
quilt
quiz
quote
race
radiate
rain
raise
rant
rain
rate
rave
reach
realize
rebuff
recall
receive
recite
recognize
recommend
record
reduce
reflect
refuse
regret
reign
reiterate
reject
rejoice
relate
relax
release
rely
remain
remember
remind
remove
repair
repeat
replace
reply
report
reprimand
reproduce
request
rescue
retire
retort
return
reveal
reverse
rhyme
rinse
risk
roar
rob
rock
roll
rot
row
rub
ruin
rule
rush
sack
sail
satisfy
save
savor
saw
scare
scatter
scoff
scold
scoot
scorch
scrape
scratch
scream
screech
screw
scribble
seal
search
sense
separate
serve
settle
sever
shade
shampoo
share
shave
shelter
shift
shiver
shock
shop
shout
shriek
shrug
sigh
sign
signal
sin
singe
sip
skate
skateboard
sketch
ski
skip
slap
slice
slip
slow
smash
smell
smile
smoke
snap
snarl
snatch
sneak
sneer
sneeze
snicker
sniff
snore
snoop
snooze
snort
snow
soak
sob
soothe
sound
span
spare
spark
sparkle
speculate
spell
spill
spoil
spot
spray
sprout
sputter
squash
squeeze
stab
stain
stammer
stamp
star
stare
start
stash
state
stay
steer
step
stipulate
stir
stitch
stop
store
strap
storm
stow
strengthen
stress
stretch
strip
stroke
stuff
stray
strum
strut
stun
stunt
stutter
submerge
succeed
suffer
suggest
suit
supply
support
suppose
surmise
surprise
surround
suspect
suspend
sway
swear
swing
switch
swoop
sympathize
talk
tame
tap
taste
taunt
tease
telephone
tempt
terrify
test
testify
thank
thaw
theorize
threaten
thunder
tick
tickle
tie
time
tip
tire
toast
toss
touch
tour
tow
trace
track
trade
train
translate
transport
trap
travel
treat
tremble
trick
trickle
trim
trip
trot
trouble
trust
trounce
try
tug
tumble
turn
twist
type
undress
unfasten
unite
unlock
unpack
upstage
urge
untie
use
usurp
utter
vacuum
value
vanish
vanquish
venture
visit
voice
volunteer
vote
vouch
wail
wait
walk
wallow
wander
want
warm
warn
wash
waste
watch
water
wave
waver
wed
weigh
welcome
whimper
whine
whip
whirl
whisper
whistle
wink
wipe
wish
wobble
wonder
work
worry
wrap
wreck
wrestle
wriggle
writhe
x-ray
yawn
yell
yelp
yield
yodel
zip
zoom",,
Positive Words,"A

absolutely
adorable
accepted
acclaimed
accomplish
accomplishment
achievement
action
active
admire
adventure
affirmative
affluent
agree
agreeable
amazing
angelic
appealing
approve
aptitude
attractive
awesome
B

beaming
beautiful
believe
beneficial
bliss
bountiful
bounty
brave
bravo
brilliant
bubbly
C

calm
celebrated
certain
champ
champion
charming
cheery
choice
classic
classical
clean
commend
composed
congratulation
constant
cool
courageous
creative
cute
D

dazzling
delight
delightful
distinguished
divine
E

earnest
easy
ecstatic
effective
effervescent
efficient
effortless
electrifying
elegant
enchanting
encouraging
endorsed
energetic
energized
engaging
enthusiastic
essential
esteemed
ethical
excellent
exciting
exquisite
F

fabulous
fair
familiar
famous
fantastic
favorable
fetching
fine
fitting
flourishing
fortunate
free
fresh
friendly
fun
funny
G

generous
genius
genuine
giving
glamorous
glowing
good
gorgeous
graceful
great
green
grin
growing
H

handsome
happy
harmonious
healing
healthy
hearty
heavenly
honest
honorable
honored
hug
I

idea
ideal
imaginative
imagine
impressive
independent
innovate
innovative
instant
instantaneous
instinctive
intuitive
intellectual
intelligent
inventive
J

jovial
joy
jubilant
K

keen
kind
knowing
knowledgeable
L

laugh
legendary
light
learned
lively
lovely
lucid
lucky
luminous
M

marvelous
masterful
meaningful
merit
meritorious
miraculous
motivating
moving
N

natural
nice
novel
now
nurturing
nutritious
O

okay
one
one-hundred percent
open
optimistic
P

paradise
perfect
phenomenal
pleasurable
plentiful
pleasant
poised
polished
popular
positive
powerful
prepared
pretty
principled
productive
progress
prominent
protected
proud
Q

quality
quick
quiet
R

ready
reassuring
refined
refreshing
rejoice
reliable
remarkable
resounding
respected
restored
reward
rewarding
right
robust
S

safe
satisfactory
secure
seemly
simple
skilled
skillful
smile
soulful
sparkling
special
spirited
spiritual
stirring
stupendous
stunning
success
successful
sunny
super
superb
supporting
surprising
T

terrific
thorough
thrilling
thriving
tops
tranquil
transforming
transformative
trusting
truthful
U

unreal
unwavering
up
upbeat
upright
upstanding
V

valued
vibrant
victorious
victory
vigorous
virtuous
vital
vivacious
W

wealthy
welcome
well
whole
wholesome
willing
wonderful
wondrous
worthy
wow
Y

yes
yummy
Z

zeal
zealous",,
Adjectives,"abandoned
able
absolute
adorable
adventurous
academic
acceptable
acclaimed
accomplished
accurate
aching
acidic
acrobatic
active
actual
adept
admirable
admired
adolescent
adorable
adored
advanced
afraid
affectionate
aged
aggravating
aggressive
agile
agitated
agonizing
agreeable
ajar
alarmed
alarming
alert
alienated
alive
all
altruistic
amazing
ambitious
ample
amused
amusing
anchored
ancient
angelic
angry
anguished
animated
annual
another
antique
anxious
any
apprehensive
appropriate
apt
arctic
arid
aromatic
artistic
ashamed
assured
astonishing
athletic
attached
attentive
attractive
austere
authentic
authorized
automatic
avaricious
average
aware
awesome
awful
awkward
babyish
bad
back
baggy
bare
barren
basic
beautiful
belated
beloved
beneficial
better
best
bewitched
big
big-hearted
biodegradable
bite-sized
bitter
black
black-and-white
bland
blank
blaring
bleak
blind
blissful
blond
blue
blushing
bogus
boiling
bold
bony
boring
bossy
both
bouncy
bountiful
bowed
brave
breakable
brief
bright
brilliant
brisk
broken
bronze
brown
bruised
bubbly
bulky
bumpy
buoyant
burdensome
burly
bustling
busy
buttery
buzzing
calculating
calm
candid
canine
capital
carefree
careful
careless
caring
cautious
cavernous
celebrated
charming
cheap
cheerful
cheery
chief
chilly
chubby
circular
classic
clean
clear
clear-cut
clever
close
closed
cloudy
clueless
clumsy
cluttered
coarse
cold
colorful
colorless
colossal
comfortable
common
compassionate
competent
complete
complex
complicated
composed
concerned
concrete
confused
conscious
considerate
constant
content
conventional
cooked
cool
cooperative
coordinated
corny
corrupt
costly
courageous
courteous
crafty
crazy
creamy
creative
creepy
criminal
crisp
critical
crooked
crowded
cruel
crushing
cuddly
cultivated
cultured
cumbersome
curly
curvy
cute
cylindrical
damaged
damp
dangerous
dapper
daring
darling
dark
dazzling
dead
deadly
deafening
dear
dearest
decent
decimal
decisive
deep
defenseless
defensive
defiant
deficient
definite
definitive
delayed
delectable
delicious
delightful
delirious
demanding
dense
dental
dependable
dependent
descriptive
deserted
detailed
determined
devoted
different
difficult
digital
diligent
dim
dimpled
dimwitted
direct
disastrous
discrete
disfigured
disgusting
disloyal
dismal
distant
downright
dreary
dirty
disguised
dishonest
dismal
distant
distinct
distorted
dizzy
dopey
doting 
double
downright
drab
drafty
dramatic
dreary
droopy
dry
dual
dull
dutiful
each
eager
earnest
early
easy
easy-going
ecstatic
edible
educated
elaborate
elastic
elated
elderly
electric
elegant
elementary
elliptical
embarrassed
embellished
eminent
emotional
empty
enchanted
enchanting
energetic
enlightened
enormous
enraged
entire
envious
equal
equatorial
essential
esteemed
ethical
euphoric
even
evergreen
everlasting
every
evil
exalted
excellent
exemplary
exhausted
excitable
excited
exciting
exotic
expensive
experienced
expert
extraneous
extroverted
extra-large
extra-small
fabulous
failing
faint
fair
faithful
fake
false
familiar
famous
fancy
fantastic
far
faraway
far-flung
far-off
fast
fat
fatal
fatherly
favorable
favorite
fearful
fearless
feisty
feline
female
feminine
few
fickle
filthy
fine
finished
firm
first
firsthand
fitting
fixed
flaky
flamboyant
flashy
flat
flawed
flawless
flickering
flimsy
flippant
flowery
fluffy
fluid
flustered
focused
fond
foolhardy
foolish
forceful
forked
formal
forsaken
forthright
fortunate
fragrant
frail
frank
frayed
free
French
fresh
frequent
friendly
frightened
frightening
frigid
frilly
frizzy
frivolous
front
frosty
frozen
frugal
fruitful
full
fumbling
functional
funny
fussy
fuzzy
gargantuan
gaseous
general
generous
gentle
genuine
giant
giddy
gigantic
gifted
giving
glamorous
glaring
glass
gleaming
gleeful
glistening
glittering
gloomy
glorious
glossy
glum
golden
good
good-natured
gorgeous
graceful
gracious
grand
grandiose
granular
grateful
grave
gray
great
greedy
green
gregarious
grim
grimy
gripping
grizzled
gross
grotesque
grouchy
grounded
growing
growling
grown
grubby
gruesome
grumpy
guilty
gullible
gummy
hairy
half
handmade
handsome
handy
happy
happy-go-lucky
hard
hard-to-find
harmful
harmless
harmonious
harsh
hasty
hateful
haunting
healthy
heartfelt
hearty
heavenly
heavy
hefty
helpful
helpless
hidden
hideous
high
high-level
hilarious
hoarse
hollow
homely
honest
honorable
honored
hopeful
horrible
hospitable
hot
huge
humble
humiliating
humming
humongous
hungry
hurtful
husky
icky
icy
ideal
idealistic
identical
idle
idiotic
idolized
ignorant
ill
illegal
ill-fated
ill-informed
illiterate
illustrious
imaginary
imaginative
immaculate
immaterial
immediate
immense
impassioned
impeccable
impartial
imperfect
imperturbable
impish
impolite
important
impossible
impractical
impressionable
impressive
improbable
impure
inborn
incomparable
incompatible
incomplete
inconsequential
incredible
indelible
inexperienced
indolent
infamous
infantile
infatuated
inferior
infinite
informal
innocent
insecure
insidious
insignificant
insistent
instructive
insubstantial
intelligent
intent
intentional
interesting
internal
international
intrepid
ironclad
irresponsible
irritating
itchy
jaded
jagged
jam-packed
jaunty
jealous
jittery
joint
jolly
jovial
joyful
joyous
jubilant
judicious
juicy
jumbo
junior
jumpy
juvenile
kaleidoscopic
keen
key
kind
kindhearted
kindly
klutzy
knobby
knotty
knowledgeable
knowing
known
kooky
kosher
lame
lanky
large
last
lasting
late
lavish
lawful
lazy
leading
lean
leafy
left
legal
legitimate
light
lighthearted
likable
likely
limited
limp
limping
linear
lined
liquid
little
live
lively
livid
loathsome
lone
lonely
long
long-term
loose
lopsided
lost
loud
lovable
lovely
loving
low
loyal
lucky
lumbering
luminous
lumpy
lustrous
luxurious
mad
made-up
magnificent
majestic
major
male
mammoth
married
marvelous
masculine
massive
mature
meager
mealy
mean
measly
meaty
medical
mediocre
medium
meek
mellow
melodic
memorable
menacing
merry
messy
metallic
mild
milky
mindless
miniature
minor
minty
miserable
miserly
misguided
misty
mixed
modern
modest
moist
monstrous
monthly
monumental
moral
mortified
motherly
motionless
mountainous
muddy
muffled
multicolored
mundane
murky
mushy
musty
muted
mysterious
naive
narrow
nasty
natural
naughty
nautical
near
neat
necessary
needy
negative
neglected
negligible
neighboring
nervous
new
next
nice
nifty
nimble
nippy
nocturnal
noisy
nonstop
normal
notable
noted
noteworthy
novel
noxious
numb
nutritious
nutty
obedient
obese
oblong
oily
oblong
obvious
occasional
odd
oddball
offbeat
offensive
official
old
old-fashioned
only
open
optimal
optimistic
opulent
orange
orderly
organic
ornate
ornery
ordinary
original
other
our
outlying
outgoing
outlandish
outrageous
outstanding
oval
overcooked
overdue
overjoyed
overlooked
palatable
pale
paltry
parallel
parched
partial
passionate
past
pastel
peaceful
peppery
perfect
perfumed
periodic
perky
personal
pertinent
pesky
pessimistic
petty
phony
physical
piercing
pink
pitiful
plain
plaintive
plastic
playful
pleasant
pleased
pleasing
plump
plush
polished
polite
political
pointed
pointless
poised
poor
popular
portly
posh
positive
possible
potable
powerful
powerless
practical
precious
present
prestigious
pretty
precious
previous
pricey
prickly
primary
prime
pristine
private
prize
probable
productive
profitable
profuse
proper
proud
prudent
punctual
pungent
puny
pure
purple
pushy
putrid
puzzled
puzzling
quaint
qualified
quarrelsome
quarterly
queasy
querulous
questionable
quick
quick-witted
quiet
quintessential
quirky
quixotic
quizzical
radiant
ragged
rapid
rare
rash
raw
recent
reckless
rectangular
ready
real
realistic
reasonable
red
reflecting
regal
regular
reliable
relieved
remarkable
remorseful
remote
repentant
required
respectful
responsible
repulsive
revolving
rewarding
rich
rigid
right
ringed
ripe
roasted
robust
rosy
rotating
rotten
rough
round
rowdy
royal
rubbery
rundown
ruddy
rude
runny
rural
rusty
sad
safe
salty
same
sandy
sane
sarcastic
sardonic
satisfied
scaly
scarce
scared
scary
scented
scholarly
scientific
scornful
scratchy
scrawny
second
secondary
second-hand
secret
self-assured
self-reliant
selfish
sentimental
separate
serene
serious
serpentine
several
severe
shabby
shadowy
shady
shallow
shameful
shameless
sharp
shimmering
shiny
shocked
shocking
shoddy
short
short-term
showy
shrill
shy
sick
silent
silky
silly
silver
similar
simple
simplistic
sinful
single
sizzling
skeletal
skinny
sleepy
slight
slim
slimy
slippery
slow
slushy
small
smart
smoggy
smooth
smug
snappy
snarling
sneaky
sniveling
snoopy
sociable
soft
soggy
solid
somber
some
spherical
sophisticated
sore
sorrowful
soulful
soupy
sour
Spanish
sparkling
sparse
specific
spectacular
speedy
spicy
spiffy
spirited
spiteful
splendid
spotless
spotted
spry
square
squeaky
squiggly
stable
staid
stained
stale
standard
starchy
stark
starry
steep
sticky
stiff
stimulating
stingy
stormy
straight
strange
steel
strict
strident
striking
striped
strong
studious
stunning
stupendous
stupid
sturdy
stylish
subdued
submissive
substantial
subtle
suburban
sudden
sugary
sunny
super
superb
superficial
superior
supportive
sure-footed
surprised
suspicious
svelte
sweaty
sweet
sweltering
swift
sympathetic
tall
talkative
tame
tan
tangible
tart
tasty
tattered
taut
tedious
teeming
tempting
tender
tense
tepid
terrible
terrific
testy
thankful
that
these
thick
thin
third
thirsty
this
thorough
thorny
those
thoughtful
threadbare
thrifty
thunderous
tidy
tight
timely
tinted
tiny
tired
torn
total
tough
traumatic
treasured
tremendous
tragic
trained
tremendous
triangular
tricky
trifling
trim
trivial
troubled
true
trusting
trustworthy
trusty
truthful
tubby
turbulent
twin
ugly
ultimate
unacceptable
unaware
uncomfortable
uncommon
unconscious
understated
unequaled
uneven
unfinished
unfit
unfolded
unfortunate
unhappy
unhealthy
uniform
unimportant
unique
united
unkempt
unknown
unlawful
unlined
unlucky
unnatural
unpleasant
unrealistic
unripe
unruly
unselfish
unsightly
unsteady
unsung
untidy
untimely
untried
untrue
unused
unusual
unwelcome
unwieldy
unwilling
unwitting
unwritten
upbeat
upright
upset
urban
usable
used
useful
useless
utilized
utter
vacant
vague
vain
valid
valuable
vapid
variable
vast
velvety
venerated
vengeful
verifiable
vibrant
vicious
victorious
vigilant
vigorous
villainous
violet
violent
virtual
virtuous
visible
vital
vivacious
vivid
voluminous
wan
warlike
warm
warmhearted
warped
wary
wasteful
watchful
waterlogged
watery
wavy
wealthy
weak
weary
webbed
wee
weekly
weepy
weighty
weird
welcome
well-documented
well-groomed
well-informed
well-lit
well-made
well-off
well-to-do
well-worn
wet
which
whimsical
whirlwind
whispered
white
whole
whopping
wicked
wide
wide-eyed
wiggly
wild
willing
wilted
winding
windy
winged
wiry
wise
witty
wobbly
woeful
wonderful
wooden
woozy
wordy
worldly
worn
worried
worrisome
worse
worst
worthless
worthwhile
worthy
wrathful
wretched
writhing
wrong
wry
yawning
yearly
yellow
yellowish
young
youthful
yummy
zany
zealous
zesty
zigzag",,
