Az Zour South (ZSPS) Thermal Power Plant,Kuwait,Please Select,28.70716959,48.37415457,2400,Please Select,Please Select,"2 km S of Mina Said, Al Ahmadi",Please Select,1987-00-00,Ministry of Electricity and Water Kuwait,,Government,,Ministry of Electricity and Water Kuwait,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Doha East (DEPS)  Thermal Power Plant Kuwait,Kuwait,Operating Fully,29.36822,47.79628,1350,Cogeneration Power and Desalination Steam Turbine,Base Load,"10 km NEN of Al Jahra, Al Jahra, Kuwait",National Grid,1977-00-00,Ministry of Electricity and Water Kuwait,,Government,,Ministry of Electricity and Water Kuwait,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8  and  http://www.mew.gov.kw/dohawest/about-en.html
Doha West (DWPS)  Thermal Power Plant Kuwait,Kuwait,Operating Fully,29.36783308,47.78647184,2400,Cogeneration Power and Desalination Steam Turbine,Please Select,"10 km NEN of Al Jahra, Al Jahra, Kuwait",National Grid,1982-06-08,Ministry of Electricity and Water Kuwait,,Government,,Ministry of Electricity and Water Kuwait,,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013
Sabiya I Thermal Power Plant Kuwait,Kuwait,Please Select,29.567,48.171,2400,Please Select,Please Select,"Near Qasr as Sabiyah, Al Jahrah, Kuwait",Please Select,1998-04-00,Ministry of Electricity and Water Kuwait,,Government,"Mitsibishi, Hyundai Engineering and Construction, Merz and McLellan",Ministry of Electricity and Water Kuwait,,,http://www.power-technology.com/projects/subiya/
Osh CHP Power Plant Kyrgyzstan,Kyrgyzstan,Operating Fully,40.5718,72.804,50,Cogeneration Power and Heat Steam Turbine,Please Select,"Osh, Kyrgyzstan",National Grid,,"Ministry of Industry, Energy and Fuel Resources",93,Government,,Electric Stations Open Joint Stock Company (OJSC),,,http://www.energo-es.kg/?page=company&articles=stations/heat_station/osh
Al-Hreesha (Hreishi) Thermal Power Plant Lebanon,Lebanon,Please Select,34.37954434,35.7583952,75,Please Select,Please Select,"NE of Al Hraiche, North Lebanon, Lebanon",Please Select,1983-00-00,Electricite du Lebanon (EDL),,Government,,Electricite du Lebanon (EDL),,,http://www.edl.gov.lb/AboutEDL.htm
Jieh Thermal Power Plant Lebanon,Lebanon,Please Select,33.64747507,35.39960146,346,Please Select,Please Select,"Mediterranean Coast 10 km N of Sidon, South Lebanon",Please Select,1970-00-00,Electricite du Lebanon (EDL),,Government,,Electricite du Lebanon (EDL),,,http://www.edl.gov.lb/AboutEDL.htm#4
Zouk Thermal Power Plant Lebanon,Lebanon,Please Select,33.969,35.604,607,Please Select,Please Select,"13.5 km NE of Beirut, Mount Lebanon, Lebanon",Please Select,1984-00-00,Electricite du Lebanon (EDL),,Government,,Electricite du Lebanon (EDL),,,http://www.edl.gov.lb/AboutEDL.htm
Derna Thermal Power Plant,Libyan Arab Jamahiriya,Operating Partially,32.781,22.5874,130,Sub-critical Steam Turbine,Please Select,"5 km West of Derna, Darnah, Libya",National Grid,1976-00-00,General Electricity Company of Libya (GECOL),100,Government,,General Electricity Company of Libya (GECOL),,,http://www.egat.co.th/thai/files/Report%20PDP2010-Apr2010_English.pdf   and Annual Reports
Khoms Thermal Power Plant Libya,Libyan Arab Jamahiriya,Operating Fully,32.6213,14.3302,480,Sub-critical Steam Turbine,Please Select,"Khoms, Al Marqab, Libya",National Grid,1982-00-00,General Electricity Company of Libya (GECOL),100,Government,,General Electricity Company of Libya (GECOL),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Misratah (LISCO) Thermal Power Plant Libya,Libyan Arab Jamahiriya,Operating Fully,32.3326,15.2319,507,Sub-critical Steam Turbine,Please Select,"Misratah City, Misratah, Libya",National Grid,1990-00-00,General Electricity Company of Libya (GECOL),,Government,Hyundai,General Electricity Company of Libya (GECOL),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
North Bengazi Thermal Power Plant Libya,Libyan Arab Jamahiriya,Operating Fully,32.2021,20.1315,160,Sub-critical Steam Turbine,Please Select,"14 km North of Benghazi city, Libya",National Grid,1979-00-00,General Electricity Company of Libya (GECOL),100,Government,,General Electricity Company of Libya (GECOL),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Tobruk Thermal Power Plant Libya,Libyan Arab Jamahiriya,Operating Partially,32.0593,23.9815,130,Sub-critical Steam Turbine,Please Select,"Tobruk, Al Butnan, Libya",National Grid,1978-00-00,General Electricity Company of Libya (GECOL),100,Government,,General Electricity Company of Libya (GECOL),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
West Tripoli Thermal Power Plant Libya,Libyan Arab Jamahiriya,Operating Fully,32.8251,12.9739,565,Sub-critical Steam Turbine,Please Select,"West Tripoli, Tarabulus, Libya",National Grid,1976-00-00,General Electricity Company of Libya (GECOL),100,Government,,General Electricity Company of Libya (GECOL),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Libaran Oil Power Plant Malaysia,Malaysia,Operating Fully,5.85349,118.02594,60,Oil Engine,Please Select,"Sungai Jipon, Jalan Datuk Tay, Off Jalan Fook Kim, 8 Jalan Labuk, 90737 Sandakan, Sabah, Malaysia",Regional Grid,1998-09-11,Eden Energy International (Zil Group),100,,,Stratavest Sdn Bhd,,,http://www.edenzil.com
Melawa Power Plant Malaysia,Malaysia,Operating Fully,6.0887,116.1574,50,Oil Engine,Please Select,"Melawa, Kota Kinabalu, Sabah, Malaysia",Regional Grid,1995-10-31,ARL Global Group,,,,ARL Power Sdn Bhd,,,http://arlglobal.com.my/
Sandakan-SESB ICE Power Plant Malaysia,Malaysia,Operating Fully,5.8124,118.0642,72,Oil Engine,Please Select,"Jalan Batu Sapi, Sandakan, Sabah",Regional Grid,,Tenaga Nasional Berhad (TNB) (,80,,,Sabah Electricity Sdn Bhd (SESB),,,http://www.sesb.com.my
Sandakan-SPC Oil Power Plant Malaysia,Malaysia,Operating Fully,5.8124,118.0646,34,Oil Engine,Please Select,"Jalan Batu Sapi, Sandakan, Sabah, Malaysia",Regional Grid,1999-00-00,,,,,Sandakan Power Corporation Sdn Bhd (SPC),,,http://www.industryabout.com/asia/malaysia/609-malaysia-fossil-fuels-energy/4291-sandakan-spc-oil-power-plant
Tawau-SESB ICE Power Plant Malaysia,Malaysia,Operating Fully,4.2826,117.888,40,Oil Engine,Please Select,"Tawau, Sabah, Malaysia",Regional Grid,1990-00-00,Tenaga Nasional Berhad (TNB),80,,,Sabah Electricity Sdn Bhd (SESB),,,http://www.sesb.com.my/
Tawau-Serudong ICE Power Plant Malaysia,Malaysia,Operating Fully,4.2826,117.889,36,Oil Engine,Please Select,"Tawau, Sabah, Malaysia",Regional Grid,1996-12-02,Mega First (51% of Serudong Power Sdn Bhd),51,,,Mega First Power Services Sdn Bhd,,,http://mega-first.com/business_power.html
Fort George ICE Power Plant Mauritius,Mauritius,Operating Fully,-20.14575,57.4928,138,Oil Engine,Intermediate Load,"Fort George, Port Louis, Mauritius",National Grid,1997-00-00,Central Electricity Board (CEB),100,,"BWSC, Hyundai, EDAC",Central Electricity Board (CEB),,,http://ceb.intnet.mu/  (Annual Reports)
Fort Victoria ICE Power Plant Mauritius,Mauritius,Operating Fully,-20.1634,57.477,90,Oil Engine,Please Select,"Fort Victoria, Port Louis, Mauritius",National Grid,2010-10-06,Central Electricity Board (CEB),100,,Burmeister & Wain Scandinavian Contractor A/S (BWSC),Central Electricity Board (CEB),,,http://ceb.intnet.mu/  (Annual Reports)
St. Louis ICE Power Plant Mauritius,Mauritius,Operating Fully,-20.1778,57.4792,113.2,Oil Engine,Please Select,"Port Louis, Mauritius",Please Select,1978-00-00,Central Electricity Board (CEB),100,,"Burmeister & Wain Scandinavian Contractor A/S (BWSC), Mott MacDonald",Central Electricity Board (CEB),,,http://ceb.intnet.mu/  (Annual Reports)
"Altamira Oil Power Plant, Mexico",Mexico,Please Select,22.43451358,-98.00800323,800,Please Select,Please Select,"Near La Colonia, Altamira, Tamaulipas, Mexico",Please Select,1976-05-19,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Benito Juarez (Samalayuca I) Thermal Power Station Mexico,Mexico,Please Select,31.33138867,-106.4859724,316,Please Select,Please Select,"Samalayuca, Juarez, Mexico",Please Select,1985-04-02,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Carlos Rodriguez Rivero (Guaymas II) Thermal Power Plant Mexico,Mexico,Please Select,27.93677772,-110.8628011,484,Please Select,Please Select,"Guaymas, Sonora, Mexico",Please Select,,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Felipe Carrillo Puerto (Valladolid) Thermal Power Plant Mexico,Mexico,Please Select,20.713,-88.269,75,Please Select,Please Select,"Valladolid, Yucatan, Mexico",Please Select,1992-04-05,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Francisco Perez Rios (Tula) Thermal Power Station Mexico,Mexico,Please Select,20.05547774,-99.27733183,1546,Please Select,Please Select,"Tula, Hidalgo, Mexico",Please Select,1991-06-30,Comision Federal de Electricidad (CFE),,Government,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Francisco Villa (Delicias) Oil Power Plant Mexico,Mexico,Please Select,28.16558371,-105.4438162,300,Please Select,Please Select,"Delicias, Chihuahua, Mexico",Please Select,,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Guadelupe Victoria (Lerdo) Thermal Power Station Mexico,Mexico,Please Select,25.49294575,-103.5704327,320,Please Select,Please Select,"Sonoma, Lerdo, Durango, Mexico",Please Select,1991-06-18,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
"Jose Aceves Pozos (Mazatlan II) Thermal Power Plant, Mexico",Mexico,Please Select,23.18936356,-106.3559818,616,Please Select,Please Select,"Mazatlan, Sinloa, Mexico",Please Select,1976-11-13,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
"Juan de Dios Batiz P. (Topolobampo) Thermal Power Plant, Mexico",Mexico,Please Select,25.6077461,-109.0513229,320,Please Select,Please Select,"Topolobampo, Ahome, Sinaloa, Mexico",Please Select,1968-00-00,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
"Lerma (Campache) Thermal Power Plant, Mexico",Mexico,Please Select,19.79513323,-90.61308861,150,Please Select,Please Select,"Lerma, Campache, Campache, Mexico",Please Select,1976-09-09,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad,,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Manuel Alvarez Moreno (Manzanillo I) Thermal Power Station Mexico,Mexico,Please Select,19.02716997,-104.3197989,1200,Please Select,Please Select,"Manzanillo, Colima, Mexico",Please Select,1982-09-01,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Manzanillo II Thermal Power Station Mexico,Mexico,Please Select,19.02457343,-104.3202281,700,Please Select,Please Select,"Manzanillo, Colima, Mexico",Please Select,1989-07-24,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
"Merida II Thermal Power Plant, Mexico",Mexico,Please Select,20.92703104,-89.6879518,168,Please Select,Please Select,"Merida, Yucatan, Mexico",Please Select,1981-12-13,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Pdte. Emilio Portes Gil (Rio Bravo) Thermal Power Plant Mexico,Mexico,Please Select,25.98053806,-98.06409359,300,Please Select,Please Select,"Rio Bravo, Tamaulipas, Mexico",Please Select,1964-07-11,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
"Poza Rica Thermal Power Plant, Mexico",Mexico,Please Select,20.52670786,-97.49196768,117,Please Select,Please Select,"Poza Roca, Tihuatian, Veracruz, Mexico",Please Select,1963-02-04,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Presidente Adolfo Lopez Mateos (Tuxpan) Thermal Power Station,Mexico,Please Select,21.01424948,-97.33380318,2100,Please Select,Please Select,"Tuxpan, Veracruz, Mexico",Please Select,1991-06-30,Comision Federal de Electricidad (CFE),,Government Federal,"Turalmex, ICA, Alstom",Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Presidente Juarez (Rosarito) Oil Thermal Power Station Mexico,Mexico,Please Select,32.36899739,-117.0682096,620,Please Select,Please Select,"Rosarita, Baja California, Mexico",Please Select,1964-03-06,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Puerto Libertad Thermal Power Plant Mexico,Mexico,Please Select,29.90579671,-112.6928186,632,Please Select,Please Select,"Pitiquito, Sonora, Mexico",Please Select,1985-08-01,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Punta Prieta II Thermal Power Plant Mexico,Mexico,Please Select,24.22301504,-110.3093433,113,Please Select,Please Select,"La Paz, Baja Calaifornia Sur, Mexico",Please Select,1971-08-01,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Salamanca Thermal Power Plant Mexico,Mexico,Please Select,20.56899257,-101.1702633,866,Please Select,Please Select,"Salamanca, Guanajuato, Mexico",Please Select,1971-06-19,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Tamuin (TEG and TEG II) thermal Power Plant Mexico,Mexico,Please Select,22.0695,-98.847,520,Please Select,Please Select,"Tamuin, San Luis Potosi, Mexico",Please Select,2004-00-00,AES Corporation (bought from Alstom and Excelon Corporation for $611 million),,CPP,ABB Alstom,"Sithe Energies, Inc. (for CEMEX)",,,http://www.power.alstom.com/_eLibrary/presentation/upload_114555.pdf
Tecnologico gas Turbine Power Plant Mexico,Mexico,Please Select,25.64684116,-100.2907777,30,Please Select,Please Select,"Monterrey, Nuevo Leon, Mexico",Please Select,1974-02-01,Comision Federal de Electricidad (CFE),,Government,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Villa de Reyes (San Luis Potosi) Thermal Power Plant Mexico,Mexico,Please Select,21.83154407,-100.9344864,700,Please Select,Please Select,"Villa de Reyes, San Luis Potosi, Mexico",Please Select,1986-11-01,Comision Federal de Electricidad (CFE),,Government Federal,,Comision Federal de Electricidad (CFE),,,http://www.cfe.gob.mx/en/LaEmpresa/generacionelectricidad/
Kenitra Thermal Power Plant Morocco,Morocco,Operating Fully,34.286,-6.5618,300,Sub-critical Steam Turbine,Please Select,"Kenitra, Cgharb-Chrarda-Beni Hssen, Morocco",National Grid,1978-00-00,Office National de l\'Electricite (ONE),100,Government,,Office National de l\'Electricite (ONE),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
Mohammedia Thermal Power Plant Morocco,Morocco,Operating Fully,33.682,-7.4338,300,Sub-critical Steam Turbine,Please Select,"Mohammedia, Grand Casablanca, Morocco",National Grid,1981-00-00,Office National de l\'Electricite (ONE),100,Government,,Office National de l\'Electricite (ONE),,,http://www.auptde.org/NewSite/user/User_Def1.aspx?PID=2013&IssueID=8
ALBANISA Che Guevara II IV V (Masaya) IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.0144,-86.086,61.2,Oil Engine,Please Select,"Masaya, Nicaragua",National Grid,2008-00-00,Alba de Nicaragua SA (ALBANISA),100,Private,,Alba de Nicaragua SA (ALBANISA),,,
ALBANISA Che Guevara III (Managua) IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.15421,-86.25817,20.4,Oil Engine,Please Select,"Managua, Managua, Nicaragua",National Grid,2008-00-00,Alba de Nicaragua SA (ALBANISA),100,,,Alba de Nicaragua SA (ALBANISA),,,
ALBANISA Che Guevara VI VII (Nagarote) IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.2803,-86.5768,54.4,Oil Engine,Please Select,"NE of Nararote, Leon, Nicaragua",National Grid,2009-00-00,Alba de Nicaragua SA (ALBANISA),100,Private,,Alba de Nicaragua SA (ALBANISA),,,
ALBANISA Che Guevara VIII (Leon) IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.4702,-86.8849,27.2,Oil Engine,Intermediate Load,"North of Leon, Leon, Nicaragua",National Grid,2010-00-00,Alba de Nicaragua SA (ALBANISA),100,Private,,Alba de Nicaragua SA (ALBANISA),,,
CENSA Amfels IC Poqwer Plant Nicaragua,Nicaragua,Operating Fully,12.1857,-86.7473,64,Oil Engine,Intermediate Load,"Puerto Sandino, Leon, Nicaragua",National Grid,1997-00-00,,,,,"Corporacion Electrica Nicaraguense, S.A. (CENSA)",,,http://www.santoscmi.com/index.php?option=com_projects&Itemid=93&sectorid=2&projectid=45
Corinto Barge IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.4883,-87.16735,71,Oil Engine,Base Load,"Port of Corinto, Chinandega, Nicaragua",National Grid,1999-00-00,AEI,64.58,," NEPCO, Todd Pacific Shipyard",Empresa Energetica Corinto Ltd,,,http://www.aeienergy.com/?id=214
ENEL Managua Thermal Power Plant Nicaragua,Nicaragua,Operating Fully,12.1542,-86.2577,57.4,Sub-critical Steam Turbine,Base/Intermediate Load,"On the shore of lake Managua, Managua, Nicaragua",National Grid,1971-00-00,Empresa Nicaraguense de Electricidad (ENEL) (under the Ministry of Energy and Mines (MEM)),100,Government,,"Generadora Electrica Central, S.A. (GECSA)",,,http://www.enel.gob.ni/index.php?option=com_content&view=article&id=15&Itemid=19
Tipitapa IC Power Plant Nicaragua,Nicaragua,Operating Fully,12.1698,-86.1052,51,Oil Engine,Base Load,"20km east of Managua, Managua, Nicaragua",National Grid,1999-00-00,AEI,64.58,,,Tipitapa Power Company,,,http://www.aeienergy.com/?id=355
Egbin Thermal Power Plant Nigeria,Nigeria,Operating Fully,6.5632,3.6152,1320,Sub-critical Steam Turbine,Base Load,"Ijede, Lagos, Nigeria",National Grid,1985-07-00,Power Holding Company of Nigeria plc,,,Marubeni Corporation,,,,http://allafrica.com/stories/201110100710.html
Sapele Thermal Power Plant Nigeria,Nigeria,Operating Partially,5.9254,5.645,1020,Sub-critical Steam Turbine,Base Load,"Sapele, Delta, Nigeria",National Grid,1981-00-00,Power Holding Company of Nigeria plc,100,Government,,Sapele Power Plc,,,http://www.turbinetec.com/Download_GE_Layer.html
AES Lalpir Power Project Oil Plant Pakistant,Pakistan,Operating Fully,30.1725,70.993,365,Sub-critical Steam Turbine,Please Select,"Mehmood Kot, Muzaffargarh, Punjab, Pakistan",Please Select,1997-11-06,AES Lalpir Limited,,IPP,Nichimen Japan,AES Lalpir Limited,,,http://www.lalpir.com/index.php
AES Pak Gen Oil Power Project Pakistan,Pakistan,Please Select,30.17206631,70.99292278,365,Please Select,Please Select,"Mehmood Kot, Muzaffargarh, Punjab, Pakistan",Please Select,1998-02-01,"AES Transpower Inc., Arlington, VA, USA",,IPP,Nichimen/Mitsubishi Heavy Industries (MHI) of Japan,AES Pak Gen (Private) Company,,,http://www.ppib.gov.pk/AES_Pak_Gen.htm
Atlas Power Sheikhupura Oil Engine Pakistan,Pakistan,Operating Fully,31.6786,74.0839,224.35,Oil Engine,Please Select,"27km Lahore-Sheikhupura Road, Punjab, Pakistan",Please Select,2009-08-19,Atlas Power Limited,,IPP,,Atlas Power Limited,,,http://nepra.org.pk/lic_gen_ipps2002.htm  http://fossilfuel.energy-business-review.com/news/pakistan_inaugurates_atlas_power_plant_090819/
Attock Generation Oil Power Plant Pakistan,Pakistan,Operating Fully,33.5563,73.0729,165,Oil Engine,Please Select,"Attock Refinery Limited, Morgah, Rawalpindi, Pakistan",Please Select,2009-03-17,Attock Gen Limited,,IPP,Wartsila,Attock Gen Limited,,,http://www.ppib.gov.pk/Attock.htm
Gul Ahmed Energy Oil Power Plant Pakistan,Pakistan,Please Select,24.84956392,67.14710712,136.2,Please Select,Please Select,"Plot No.434, Sector 10 Korangi Industrial Area, Karachi, Sindh, Pakistan",Please Select,1997-11-03,Gul Ahmed Group (Pakistan),,IPP,,Gul Ahmed Energy Limited,,,http://www.ppib.gov.pk/GulAhmedPower.htm
Hub River Power Project Oil Plant Pakistan,Pakistan,Operating Fully,24.9057,66.6946,1292,Sub-critical Steam Turbine,Please Select,"Tehsil Hub, District Lasbela, Balochistan, Pakistan",Please Select,1977-03-31,Hub Power Company,,IPP,"Mitsui of Japan, Ansaldo Energia of Italy, Campenon Bernard SGE of France, and Ishikawajima-Harima Heavy Industries of Japan",Hub Power Company,,,http://www.hubpower.com/
Japan Power (JPCL) Oil Power Plant Pakistan,Pakistan,Operating Fully,31.32550501,74.26167727,135.6,Oil Engine,Please Select,"Jia Bagga Road, Near Jia Bagga Railway Station, Punjab, Pakistan",Please Select,2000-03-14,Japan Power Generation Limited (JPCL),100,IPP,Mitsubishi Heavy Industries (Japan),Siemens Pakistan Engineering Co. Ltd.,,,http://www.jpglpk.com/salient features.htm
KESC Bin Qasim Thermal Power Station Pakistan,Pakistan,Operating Fully,24.784397,67.36044,1260,Sub-critical Steam Turbine,Base Load,"Bin Qasin, Karachi, Sindh, Pakistan",National Grid,1983-07-24,Karachi Electric Supply Company Ltd (KESC),,,,Karachi Electric Supply Company Ltd (KESC),,,http://www.kesc.com.pk/Projects.aspx
Kohinoor Energy Oil Power Plant Pakistan,Pakistan,Please Select,31.26288816,74.18713331,131.4,Please Select,Please Select,"Raiwind-Manga Road, Near Lahore, Pakistan",Please Select,1997-06-20,Saigols Group of Companies Pakistan,,IPP,,Kohinoor Energy Limited,,,http://www.kel.com.pk/index.asp
Saba Power Oil Power Plant Pakistan,Pakistan,Operating Fully,31.7322,73.8752,136,Sub-critical Steam Turbine,Please Select,"Farouqabad, Shiekhupura, Punjab",Please Select,1999-12-31,Saba Power Company Limited,,IPP,,Saba Power Company,,,http://www.ppib.gov.pk/SabaPowerProject.htm
Southern Electric Power (SEPCOL) Oil Power Plant Pakistan,Pakistan,Please Select,31.29110756,74.24888313,117,Please Select,Please Select,"Raiwind, Lahore, Punjab, Pakistan",Please Select,1999-07-12,Southern Electric  Power Company Limited,,IPP,"ABB, SEMT, Zelin Pakistan",Southern Electric  Power Company Limited,,,http://www.sepcol.com/reports.html   (June 2008 Annual report
Tapal Energy Power Project Diesel Plant Pakistan,Pakistan,Please Select,24.99965244,66.90722108,126,Please Select,Please Select,"District West, Karachi, Sindh, Pakistan",Please Select,1977-06-20,Wartsila Diesel Development Asia Ltd.,,IPP,,Tapal Energy (Pvt.) Limited,,,http://www.pepco.gov.pk/ipps.php
WAPDA Jamshoro Thermal Power Station Pakistan,Pakistan,Operating Fully,25.47221965,68.26599598,850,Sub-critical Steam Turbine,Please Select,"5 Km North-West of the village of Jamshoro, Sindh, Pakistan",Please Select,1990-01-27,Water and Power Development Authority (WAPDA),100,Government of Pakistan,"CMEC China, Fuji Japan, Water and Power Development Authority (WAPDA)",Jamshoro Power Company Limited (JPCL),,,http://www.wapda.gov.pk/htmls/pgeneration-index.html
ACP Miraflores 3 and 4 Thermal Power Plant Panama,Panama,Operating Fully,9.0012,-79.5909,59,Sub-critical Steam Turbine,Base Load,"Miraflores Locks, Panama, Panama",Please Select,1970-00-00,Autoridad del Canal de Panama,,,,Autoridad del Canal de Panama,,,http://www.pancanal.com/eng/
ACP Miraflores IC Power Plant Panama,Panama,Operating Fully,9.0003,-79.59066,54,Oil Engine,Base Load,"Miraflores Locks, Panama, Panama",National Grid,2002-00-00,Autoridad del Canal de Panama,100,Government,BWSC,Autoridad del Canal de Panama,,,http://www.pancanal.com/eng/
PanAm IC Power Plant Panama,Panama,Operating Fully,8.9091,-79.7809,96,Oil Engine,Base Load,"La Chorrera, Panama, Panama",National Grid,1999-00-00,PanAm Generation Ltd,100,,,PanAm Generation Ltd,,,http://www.panam.com.pa/english/
Pedregal Pacora Power Plant Panama,Panama,Operating Fully,9.1053,-79.2729,53.4,Oil Engine,Please Select,"3.2km NE of Pacora, Panama, Panama",National Grid,2003-01-00,Pedregal Power Company,,,Burmeister & Wain Scandinavian Contractor (BWSC),Pedregal Power Company,,,http://www.bwsc.com/Pacora-Power-Plant--Panama.aspx?ID=212
FPPC Bauang Diesel Power Plant Philippines,Philippines,Operating Fully,16.4907,120.3261,235,Oil Engine,Base Load,"Bauang, La Union, Philippines",Regional Grid,1994-08-30,First Gen Corporation,37.3,IPP,Meralco Engineering Services Corp,First Private Power Corporation (FPPC) Bauang Private Power Corporation (BPPC),,,http://www.doe.gov.ph/EP/ExistingPlants.htm
Malaya Oil Thermal Power Plant Philippines,Philippines,Operating Fully,14.3959,121.3337,650,Sub-critical Steam Turbine,Base Load,"Pililla, Rizal, Luzon, Philippines",Regional Grid,1995-05-15,Power Sector Assets and Liabilities Management (PSALM) Corporation,,,,Kepco Philippines Corporation (Kephilco),,,http://www.doe.gov.ph/EP/ExistingPlants.htm
Barreiro Cogen Thermal Power Plant Brazil,Portugal,Operating Fully,38.675,-9.0545,64,Sub-critical Steam Turbine,Peaking Load,"Lisboa, Portugal",National Grid,1978-00-00,Energias de Portugal EDP,,,,Energias de Portugal EDP,,,http://wikienergia.com/~edp/index.php?title=Central_do_Barreiro
Carregado Thermal Power Plant Brazil,Portugal,Operating Fully,39.0137,-8.9554,750,Sub-critical Steam Turbine,Peaking Load and Backup,"Carregado, Lisboa, Portugal",National Grid,1969-00-00,Energias de Portugal EDP,,,,Energias de Portugal EDP,,,http://www.edp.pt/
Setubal Thermal Power Plant Portugal,Portugal,Operating Fully,38.51,-8.845,1000,Sub-critical Steam Turbine,Intermediate/Peak Load,"Setubal, Portugal",National Grid,1979-00-00,,,,,Energias de Portugal EDP,,,http://www.edp.pt/en/sustentabilidade/PublicacoesRelatorios/Pages/default_new.aspx  (Performance data from sustainability reports)
Hsieh-Ho Oil Power Station Taiwan,Republic of China Taiwan,Please Select,25.1572,121.7398,2000,Please Select,Please Select,"Hsieh-Ho, Keelung, Taiwan, ROC",Please Select,1977-00-00,Taiwan Power Company (Taipower),,,Gibsin Engineering Ltd,Taiwan Power Company (Taipower),,,http://www.taipower.com.tw/TaipowerWeb//upload/images/3/e_main_14.gif
