PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Eilat Thermal Power Plant Israel,Israel Electric Corporation,State of emergency declared in Jerusalem - Israel National ...,http://www.israelnationalnews.com/News/News.aspx/207013
Eshkol Thermal Power Plant Israel,Israel Electric Corporation,State of emergency declared in Jerusalem - Israel National ...,http://www.israelnationalnews.com/News/News.aspx/207013
Haifa Thermal Power Plant Israel,Israel Electric Corporation,State of emergency declared in Jerusalem - Israel National ...,http://www.israelnationalnews.com/News/News.aspx/207013
Kinorot Thermal Power Plant Israel,Israel Electric Corporation,State of emergency declared in Jerusalem - Israel National ...,http://www.israelnationalnews.com/News/News.aspx/207013
Reading Thermal Power Plant Israel,Israel Electric Corporation,State of emergency declared in Jerusalem - Israel National ...,http://www.israelnationalnews.com/News/News.aspx/207013
ENEL Piombino Thermal Power Plant Italy,Enel Power SpA,Enel - Official Site,https://www.enel.com/
ENEL Porto Tolle Thermal Power Plant Italy,Enel Power SpA,Enel - Official Site,https://www.enel.com/
ENIPOWER S.P.A. Stabil. di Brindisi Italy,ENIPower S.P.A. Italy,GIN Group | Sellers | Italy,https://www.enfsolar.com/directory/seller/23379/gin
Edipower San Filippo del Mela Thermal Power Plant Italy,EdiPower,"Contact - West Chester, Mason, Hamilton | EDI Power Services",http://www.edipowerservices.com/contact/
Enel Marzocco Oil Power Plant Italy,Enel Power SpA,Enel - Official Site,https://www.enel.com/
Aioi Thermal Power Plant Japan,Kansai Electric Power Company,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Akita Thermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Ako Thermal Power Plant Japan,Kansai Electric Power Company,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Anan Thermal (Oil) Power Plant Japan,Shikoku Electric Power Co. Inc.,"Shikoku Electric Power Co. Inc. - Overview, Contact ...",https://www.researchmoz.us/shikoku-electric-power-co-inc-overview-contact-details-locations-key-executives-power-plant-information-business-description-and-swot-analysis-report.html
Anegasaki Thermal Power Plant Japan,Tokyo Electric Power Co. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Atsumi Thermal Power Plant Japan,Chubu Electric Power Co,"Chubu Electric Power Co.,Inc. | Contact Us",http://www.chuden.co.jp/english/contactus/index.html?ceid=gn
Buzen Thermal Power Plant Japan,Kyushu Electric Power Company,Japanese investment in Australia - Eurus Energy ...,https://www.austrade.gov.au/international/invest/importance-of-foreign-direct-investment/japanese-investment-in-australia/real-stories/australian-resources-power-japan-s-kyushu-electric-power-company
Date Oil Power Station Japan,Hokkaido Electric Power Co. Ltd (HEPCO),For More Information :- Contact :- http://www.senatesys ...,https://www.pinterest.com/pin/623607879624080952/
Fukui (Mikuni) Thermal Power Station Japan,Hokuriku Electric Power Company,Contact us | Hokuriku Electric Power Company,http://www.rikuden.co.jp/english/inquiry.html
Gobo Thermal Power Plant Japan,Kansai Electric Power Company,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Hachinohe Thermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Hirono Thermal Power Station Japan,Tokyo Electric Power Co. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Ishikawa Oil Power Station Japan,Okinawa Electric Power Company (OEPC),Contact Us | The Okinawa Electric Power Company ...,https://www.okiden.co.jp/en/contact/
Iwakuni Oil Thermal Power Station Japan,Chugoku Electric Power Co Ltd,"Contact US | THE CHUGOKU ELECTRIC POWER CO.,INC",https://www.energia.co.jp/e/navi/contact.html
Kainan (Hainan) Thermal Power Plant Japan,Kansai Electric Power Company,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Kashima Kyodo Thermal Power Plant Japan,Kashima Kyodo Electric Power Company,Roger Smith at University of Washington Contact Details ...,https://leadferret.com/directory/person/roger-smith/12090464
Kashima Oil Thermal Power Station Japan,Tokyo Electric Power Co. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Kudamatsu Oil Thermal Power Station Japan,Chugoku Electric Power Co Ltd,"Contact US | THE CHUGOKU ELECTRIC POWER CO.,INC",https://www.energia.co.jp/e/navi/contact.html
Makiminato Thermal Power Station Japan,Okinawa Electric Power Company (OEPC),Contact Us | The Okinawa Electric Power Company ...,https://www.okiden.co.jp/en/contact/
Nishi-Nagoya Thermal Power Plant Japan,Chubu Electric Power Company,"Chubu Electric Power Co.,Inc. | Contact Us",http://www.chuden.co.jp/english/contactus/index.html?ceid=gn
Ohi Oil Power Station Japan,Tokyo Electric Power Co. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Owase Mita Thermal Power Plant Japan,Chubu Electric Power Company,"Chubu Electric Power Co.,Inc. | Contact Us",http://www.chuden.co.jp/english/contactus/index.html?ceid=gn
Sendai Thermal Power Plant Japan,Kyushu Electric Power Company,Japanese investment in Australia - Eurus Energy ...,https://www.austrade.gov.au/international/invest/importance-of-foreign-direct-investment/japanese-investment-in-australia/real-stories/australian-resources-power-japan-s-kyushu-electric-power-company
Shin Sendai Thermal Power Plant Japan (Decommisioned),Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Shiriuchi Oil Power Station Japan,Hokkaido Electric Power Co. Ltd (HEPCO),For More Information :- Contact :- http://www.senatesys ...,https://www.pinterest.com/pin/623607879624080952/
Taketoyo Thermal Power Plant Japan,Chubu Electric Power Company,"Chubu Electric Power Co.,Inc. | Contact Us",http://www.chuden.co.jp/english/contactus/index.html?ceid=gn
Tamashima Oil Power Station Japan,Chugoku Electric Power Co Ltd,"Contact US | THE CHUGOKU ELECTRIC POWER CO.,INC",https://www.energia.co.jp/e/navi/contact.html
Tanagawa II Thermal Power Plant Japan,Kansai Electric Power Company,Contact us [KEPCO],http://www.kepco.co.jp/english/corporate/info/procurement/iqcounter/index.html
Tomakomai Oil Power Station Japan,Hokkaido Electric Power Co. Ltd (HEPCO),For More Information :- Contact :- http://www.senatesys ...,https://www.pinterest.com/pin/623607879624080952/
Toyama Unit 4 Thermal Power Station Japan,Hokuriku Electric Power Company,Contact us | Hokuriku Electric Power Company,http://www.rikuden.co.jp/english/inquiry.html
Toyama-Shinko Oil Power Station Japan,Hokuriku Electric Power Company,Contact us | Hokuriku Electric Power Company,http://www.rikuden.co.jp/english/inquiry.html
Yokosuka Oil Power Station Japan,Tokyo Electric Power Co. (TEPCO),TEPCO : other | Contact Us Top,http://www.tepco.co.jp/en/other/contact/contop-e.html
Hussein Thermal Power Plant Jordan,Central Electricity Generating Company (CEGCO),Contact Us | Central Electricity Generating Company,http://www.cegco.com.jo/?q=en/node/27
Taraz (Dzhambul) Thermal Power Plant Kazakstan,,Contact us – Google,http://www.google.com/contact/
Kipevu I Diesel Power Plant Kenya,Kenya Electricity Generation Company,Contact Us - Kenya Electricity Transmission Company,http://www.ketraco.co.ke/about/contacts.html
Kipevu II Thermal Power Plant Kenya,"Tsavo Power Company, Kenya",Kenya Power – Contact Centre / Customer Care Branch ...,https://softkenya.com/directory/kenya-power-contact-centre-customer-care-branch/
Kipevu III Thermal Power Plant Kenya,Kenya Electricity Generating Company Limited (KenGen),Contact | KENGEN,http://www.kengen.co.ke/?q=contact
Az Zour South (ZSPS) Thermal Power Plant,Ministry of Electricity and Water Kuwait,Ministry of Oil - Contact Us,http://www.moo.gov.kw/Contacts/Contact-Us.aspx
Doha East (DEPS)  Thermal Power Plant Kuwait,Ministry of Electricity and Water Kuwait,Ministry of Oil - Contact Us,http://www.moo.gov.kw/Contacts/Contact-Us.aspx
Doha West (DWPS)  Thermal Power Plant Kuwait,Ministry of Electricity and Water Kuwait,Ministry of Oil - Contact Us,http://www.moo.gov.kw/Contacts/Contact-Us.aspx
Sabiya I Thermal Power Plant Kuwait,Ministry of Electricity and Water Kuwait,Ministry of Oil - Contact Us,http://www.moo.gov.kw/Contacts/Contact-Us.aspx
Osh CHP Power Plant Kyrgyzstan,Electric Stations Open Joint Stock Company (OJSC),"Contact info - Almaty power stations, JSC - ales.kz",http://www.ales.kz/en/contact-info
Al-Hreesha (Hreishi) Thermal Power Plant Lebanon,Electricite du Lebanon (EDL),Contact Information - BLOMINVEST,http://blog.blominvestbank.com/wp-content/uploads/2015/06/Debt-Sustainability-Analysis-for-Lebanon-2015-20201.pdf
Jieh Thermal Power Plant Lebanon,Electricite du Lebanon (EDL),Contact Information - BLOMINVEST,http://blog.blominvestbank.com/wp-content/uploads/2015/06/Debt-Sustainability-Analysis-for-Lebanon-2015-20201.pdf
Zouk Thermal Power Plant Lebanon,Electricite du Lebanon (EDL),Contact Information - BLOMINVEST,http://blog.blominvestbank.com/wp-content/uploads/2015/06/Debt-Sustainability-Analysis-for-Lebanon-2015-20201.pdf
Derna Thermal Power Plant,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
Khoms Thermal Power Plant Libya,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
Misratah (LISCO) Thermal Power Plant Libya,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
North Bengazi Thermal Power Plant Libya,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
Tobruk Thermal Power Plant Libya,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
West Tripoli Thermal Power Plant Libya,General Electricity Company of Libya (GECOL),GECOL Restores Power Supply to Northern Ajdabiya Areas ...,http://noozz.com/gecol-restores-power-supply-to-northern-ajdabiya-areas/
Libaran Oil Power Plant Malaysia,Stratavest Sdn Bhd,Stratavest Sdn. Bhd. Sandakan - Operation of Generation ...,http://malaysia.com/old-website/directory/manufacturing-and-industrial/operation-of-generation-facilities-that-produce-electric-energy/sabah/Stratavest_Sdn._Bhd._90837.html
Melawa Power Plant Malaysia,ARL Power Sdn Bhd,Contact Info | ARL POWER SDN BHD,http://arlpower.com.my/contact-info
