Word,Definition
flirting,"flirting
present participle of flirt"
flirts,"flirts
plural of flirt"
flog,"b'flog (third-person singular simple present flogs, present participle flogging, simple past and past participle flogged)\n(transitive) To whip or scourge someone or something as punishment.\n(transitive) To use something to extreme; to abuse.2002 October 30,  Chris Wardrop,  \xe2\x80\x9cVL idles rough when warm...\xe2\x80\x9d, in  aus.cars, Usenet\xe2\x80\x8e[1]:I did seven laps of Fyshwick with the mechanic today. I was turning lots of heads on the last few, people must of thought I was nuts, flogging the car then stopping, then driving slow then flogging it again.\n2002 October 30,  Chris Wardrop,  \xe2\x80\x9cVL idles rough when warm...\xe2\x80\x9d, in  aus.cars, Usenet\xe2\x80\x8e[1]:I did seven laps of Fyshwick with the mechanic today. I was turning lots of heads on the last few, people must of thought I was nuts, flogging the car then stopping, then driving slow then flogging it again.\n(transitive, Britain) To sell something.2001 January 26,  Paul Edwards,  \xe2\x80\x9cOptus $5/month 5110, T10 and 2288 only 4 days\xe2\x80\x9d, in  aus.comms.mobile, Usenet\xe2\x80\x8e[2]:And then there\'s my part time job at Telstra Bigpond flogging their cable network for just $67.55/month long term cost, a BARGAIN, and the other part time job flogging Foxtel at something like $50/month.\n2001 January 26,  Paul Edwards,  \xe2\x80\x9cOptus $5/month 5110, T10 and 2288 only 4 days\xe2\x80\x9d, in  aus.comms.mobile, Usenet\xe2\x80\x8e[2]:And then there\'s my part time job at Telstra Bigpond flogging their cable network for just $67.55/month long term cost, a BARGAIN, and the other part time job flogging Foxtel at something like $50/month.\n(transitive, Australia, New Zealand) To steal something.\n(transitive, Australia, New Zealand) To defeat easily or convincingly.1999 August 16,  Mr Ripper,  \xe2\x80\x9cNothing to Crow About\xe2\x80\x9d, in  rec.sport.football.australian, Usenet\xe2\x80\x8e[3]:The Swannies got on a real roll over rounds 16/17 & 18 of 1987. In consecutive SCG matches, they flogged the Eags 30.21 to 10.11, followed that with a 36.20 to 11.7 demolition of the Dons and finally a 31.12 to 15.17 thrashing of Richmond.2001 June 9,  Cas.,  \xe2\x80\x9cEng v Aus 1977\xe2\x80\x9d, in  aus.sport.cricket, Usenet\xe2\x80\x8e[4]:Anyone with cable watch this on ESPN ""History of Cricket"" last night? Australia got flogged by an innings in the fourth test.2004 June 5,  Greg Vincent }:c{,  \xe2\x80\x9cPOLISER- Roosters v Bulldogs\xe2\x80\x9d, in  aus.sport.rugby-league, Usenet\xe2\x80\x8e[5]:It\'ll make the Raiders look good. \xc2\xa0Getting flogged by a team that got flogged by a team that got flogged by the Bulldogs.\n1999 August 16,  Mr Ripper,  \xe2\x80\x9cNothing to Crow About\xe2\x80\x9d, in  rec.sport.football.australian, Usenet\xe2\x80\x8e[3]:The Swannies got on a real roll over rounds 16/17 & 18 of 1987. In consecutive SCG matches, they flogged the Eags 30.21 to 10.11, followed that with a 36.20 to 11.7 demolition of the Dons and finally a 31.12 to 15.17 thrashing of Richmond.\n2001 June 9,  Cas.,  \xe2\x80\x9cEng v Aus 1977\xe2\x80\x9d, in  aus.sport.cricket, Usenet\xe2\x80\x8e[4]:Anyone with cable watch this on ESPN ""History of Cricket"" last night? Australia got flogged by an innings in the fourth test.\n2004 June 5,  Greg Vincent }:c{,  \xe2\x80\x9cPOLISER- Roosters v Bulldogs\xe2\x80\x9d, in  aus.sport.rugby-league, Usenet\xe2\x80\x8e[5]:It\'ll make the Raiders look good. \xc2\xa0Getting flogged by a team that got flogged by a team that got flogged by the Bulldogs.\n(transitive, agriculture) To exploit.2007 February 6,  \xe2\x80\x9cSuppliers the losers in Coles-Woolworths war\xe2\x80\x9d, in  The Age:The environment is paying dearly as producers flog their land. Sustainable agriculture needs a new generation of energised science and technology-trained farmers\n2007 February 6,  \xe2\x80\x9cSuppliers the losers in Coles-Woolworths war\xe2\x80\x9d, in  The Age:The environment is paying dearly as producers flog their land. Sustainable agriculture needs a new generation of energised science and technology-trained farmers'"
floor,The floor is the flat part at the bottom of a room. People stand on the floor.
flop,"flop (third-person singular simple present flops, present participle flopping, simple past and past participle flopped)
To fall heavily due to lack of energy.He flopped down in front of the television as he was exhausted from work.(Can we find and add a quotation of Charles Dickens to this entry?)
To fail completely, not to be successful at all (about a movie, play, book, song etc.).The latest album flopped and so the studio canceled her contract.
(sports) To pretend to be fouled in sports, such as basketball, hockey (the same as to dive in soccer)It starts with Chris Paul, because Blake didn't really used to flop like that, you know, last year.While Stern chastised Vogel for on Thursday calling the Heat ""the biggest flopping team in the NBA,"" he did intimate that he sees merit in the sentiment.
To strike about with something broad and flat, as a fish with its tail, or a bird with its wings; to rise and fall; to flap.The brim of a hat flops.
(poker, transitive) To participate in the flop, thus building one's hand with the first community cards.Both players flopped sets! Player A: 55. Player B: 66. Table: 965.
(slang) To stay, sleep or live in a place.1969, Howard E. Freeman, Norman R. Kurtz, America's Troubles: A Casebook on Social Conflict, Prentice-Hall, Page 414,... not just the old material goal of ""three hots and a place to flop,"" ....1973, Alan Watts, Cloud-Hidden, Whereabouts Unknown: A Mountain Journal, Pantheon Books, page 135,They have opened up crypts and basements as immense pads where vagrant and impoverished hippies can flop for the night..
1969, Howard E. Freeman, Norman R. Kurtz, America's Troubles: A Casebook on Social Conflict, Prentice-Hall, Page 414,... not just the old material goal of ""three hots and a place to flop,"" ....
1973, Alan Watts, Cloud-Hidden, Whereabouts Unknown: A Mountain Journal, Pantheon Books, page 135,They have opened up crypts and basements as immense pads where vagrant and impoverished hippies can flop for the night.."
floss,"floss (countable and uncountable, plural flosses)
a thread, used to clean the area between the teeth
(raw) silk fibres
the fibres covering a corn cob
Any thread-like material having parallel strands that are not spun or wound around each other.embroidery floss
(Britain) Spun sugar or cotton candy, especially in the phrase ""candy floss"".
A body feather of an ostrich.Flosses are soft, and grey from the female and black from the male."
flown,The past participle of fly.
flows,The third-person singular form of flow.
Floyd,
Floyd's,
flub,"b'flub (plural flubs)\n(informal) An error; a mistake in the performance of an action.1962 November 6, Richard Nixon, \xe2\x80\x9cGentlemen, this is my last press conference\xe2\x80\x9d, 2008, Rick Perlstein (editor), Richard Nixon: Speeches, Writings, Documents, page 111,I made a talk on television, a talk in which I made a flub\xe2\x80\x94one of the few that I make, not because I\xe2\x80\xb2m so good on television but because I\xe2\x80\xb2ve been doing it a long time. I made a flub in which I said I was running for governor of the United States.1997, Garry Marshall, Lori Marshall, Wake Me When It\xe2\x80\xb2s Funny: How to Break into Show Business and Stay, page 280,A flub can be a slight cinematic slip-up or a major gaffe.2002,  John Sheirer,  Shut Up and Speak!: Essential Guidelines for Public Speaking in School, Work, and Life\xe2\x80\x8e[1], page 56:The pressure public speaking puts on a person will occasionally cause these little flubs, so don\xe2\x80\xb2t panic when they happen to you.The worst way to deal with a flub is to panic and make a big deal out of it.\n1962 November 6, Richard Nixon, \xe2\x80\x9cGentlemen, this is my last press conference\xe2\x80\x9d, 2008, Rick Perlstein (editor), Richard Nixon: Speeches, Writings, Documents, page 111,I made a talk on television, a talk in which I made a flub\xe2\x80\x94one of the few that I make, not because I\xe2\x80\xb2m so good on television but because I\xe2\x80\xb2ve been doing it a long time. I made a flub in which I said I was running for governor of the United States.\n1997, Garry Marshall, Lori Marshall, Wake Me When It\xe2\x80\xb2s Funny: How to Break into Show Business and Stay, page 280,A flub can be a slight cinematic slip-up or a major gaffe.\n2002,  John Sheirer,  Shut Up and Speak!: Essential Guidelines for Public Speaking in School, Work, and Life\xe2\x80\x8e[1], page 56:The pressure public speaking puts on a person will occasionally cause these little flubs, so don\xe2\x80\xb2t panic when they happen to you.The worst way to deal with a flub is to panic and make a big deal out of it.'"
flue,"flue (plural flues)
A pipe or duct that carries gaseous combustion products away from the point of combustion (such as a furnace).
An enclosed passageway in which to direct air or other gaseous current along.
(obsolete, countable and uncountable) A woolly or downy substance; down, nap; a piece of this.
In an organ flue pipe, the opening between the lower lip and the languet."
fluff,"b""fluff (plural fluffs)\nAnything light, soft or fuzzy, especially fur, hair, feathers.\nAnything inconsequential or superficial.That article was basically a bunch of fluff. It didn't say anything substantive.\nLapse, especially a mistake in an actor\xe2\x80\x99s lines.\n(New England) Marshmallow creme.\n(LGBT) A passive partner in a lesbian relationship.\n(Australia, euphemistic) A fart."""
fluke,"fluke (plural flukes)
A lucky or improbable occurrence, with the implication that the occurrence could not be repeated.The first goal was just a fluke."
flume,"flume (plural flumes)
A ravine or gorge, usually one with water running through.
An open channel or trough used to direct or divert liquids."
flunk,"flunk (third-person singular simple present flunks, present participle flunking, simple past and past participle flunked)
(US, transitive, intransitive) Of a student, to fail a class; to not pass.He flunked math, again.
(US, transitive) Of a teacher, to deny a student a passing grade.Unsatisfied with Fred's progress, the teacher flunked him.
(US, dated, informal) To shirk (a task or duty).
To back out through fear."
flurry,"b'flurry (plural flurries)\nA light, brief snowfall.\nA sudden and brief blast or gust; a light, temporary breeze.a flurry of wind\nA shower of dust, leaves etc. brought on by a sudden gust of wind.\nAny sudden activity; a stir.1963,  Margery Allingham,  chapter 10, in  The China Governess\xe2\x80\x8e[1]:With a little man\xc5\x93uvring they contrived to meet on the doorstep which was [\xe2\x80\xa6] in a boiling stream of passers-by, hurrying business people speeding past in a flurry of fumes and dust in the bright haze.1998, Gillian Catriona Ramchand, Deconstructing the Lexicon, in Miriam Butt and Wilhelm Geuder, eds. \xe2\x80\x9cThe Projection of Arguments\xe2\x80\x9dThese [argument structure] modifications are important because they have provoked a flurry of investigation into argument structure operations of merger, demotion etc.2011 January 8,  Chris Bevan,  \xe2\x80\x9cArsenal 1 - 1 Leeds\xe2\x80\x9d, in  BBC\xe2\x80\x8e[2]:The Championship highflyers almost got their reward for a resilient performance on their first visit to the Emirates, surviving a flurry of first-half Arsenal chances before hitting back with a classic sucker punch.The day before the wedding was a flurry of preparations.\n1963,  Margery Allingham,  chapter 10, in  The China Governess\xe2\x80\x8e[1]:With a little man\xc5\x93uvring they contrived to meet on the doorstep which was [\xe2\x80\xa6] in a boiling stream of passers-by, hurrying business people speeding past in a flurry of fumes and dust in the bright haze.\n1998, Gillian Catriona Ramchand, Deconstructing the Lexicon, in Miriam Butt and Wilhelm Geuder, eds. \xe2\x80\x9cThe Projection of Arguments\xe2\x80\x9dThese [argument structure] modifications are important because they have provoked a flurry of investigation into argument structure operations of merger, demotion etc.\n2011 January 8,  Chris Bevan,  \xe2\x80\x9cArsenal 1 - 1 Leeds\xe2\x80\x9d, in  BBC\xe2\x80\x8e[2]:The Championship highflyers almost got their reward for a resilient performance on their first visit to the Emirates, surviving a flurry of first-half Arsenal chances before hitting back with a classic sucker punch.\nA snack consisting of soft ice cream mixed with small pieces of fruit, cookie crumbs, etc.1988, K. Wayne Wride, Fruit Treats (in Vegetarian Times number 134, October 1988, page 27)Does your ""Forbidden Foods"" list include banana splits, ice cream sundaes, slurpies, popsicles, frozen yogurts, milk shakes, and ice cream flurries? These foods taste great but have a reputation for being bad for your health.2002, Tampa Bay Magazine (volume 17, number 3, May-June 2002, page 235)They will make your tongue smile with their homemade ice cream, which was voted ""Best Taste in the USA Today."" Enjoy exciting toppings to personalize your treat or a yummy sundae, flurry, smoothie, banana split or shake...\n1988, K. Wayne Wride, Fruit Treats (in Vegetarian Times number 134, October 1988, page 27)Does your ""Forbidden Foods"" list include banana splits, ice cream sundaes, slurpies, popsicles, frozen yogurts, milk shakes, and ice cream flurries? These foods taste great but have a reputation for being bad for your health.\n2002, Tampa Bay Magazine (volume 17, number 3, May-June 2002, page 235)They will make your tongue smile with their homemade ice cream, which was voted ""Best Taste in the USA Today."" Enjoy exciting toppings to personalize your treat or a yummy sundae, flurry, smoothie, banana split or shake...\nThe violent spasms of a dying whale.1851,  Herman Melville,  chapter 84, in  Moby Dick, Pitchpoling:Again and again to such gamesome talk, the dexterous dart is repeated, the spear returning to its master like a greyhound held in skilful leash. The agonized whale goes into his flurry; the tow-line is slackened, and the pitchpoler dropping astern, folds his hands, and mutely watches the monster die.\n1851,  Herman Melville,  chapter 84, in  Moby Dick, Pitchpoling:Again and again to such gamesome talk, the dexterous dart is repeated, the spear returning to its master like a greyhound held in skilful leash. The agonized whale goes into his flurry; the tow-line is slackened, and the pitchpoler dropping astern, folds his hands, and mutely watches the monster die.\nAn occurrence of something (countable instances) in large numbers, happening suddenly or in a short period of time; a volley, a barrage.The classical fencer landed a flurry of hits on her opponent.The think piece provoked a flurry of media responses for the remainder of the week.'"
flute,A flute is a musical instrument that you blow into to make sound.
fly,To move through the air without touching the ground
foal,A foal is a baby horse.
foals,The plural form of foal; more than one foal.
foamed,
fog,Fog is a cloud that is close to or on the ground and sometimes prevents a person from being able to see.
foil,A foil is a sword used in the sport of fencing.
fold,"If you fold something thin such as paper, you bend it so it touches itself."
folded,The past tense and past participle of fold.
folk,Folk are people.
folks,The plural form of folk; more than one folk.
fond,"If you are fond of something, then you like it a lot."
fondness,"fondness (countable and uncountable, plural fondnesses)
the quality of being fond"
food,Food is what people and animals eat for nutrition or pleasure when they are hungry.
fool,A fool is a person who does or thinks stupid things.
fooled,The past tense and past participle of fool.
foolish,Unwise. A person who is foolish does not have good sense or judgement. They do things without thinking carefully; they do things that are bad ideas.
foot,"The lowest part of the leg, below the ankle; the part of the body used to stand on."
football,"Football refers to a number of team sports in which players kick a ball including association football , American football, Canadian football, Australian rules football, and rugby football."
for,"shows that something belongs to something else, or has a specific function"
forbid,"If you forbid someone from doing something, you do not allow them to do it; you disallow it."
foreign,Foreign means something that comes from a different place or country. Foreign people are known as foreigners.
forest,"A forest is an area covered with many trees, and sometimes by bushes and other plants."
forget,"When you forget something, you have no memory of it."
fork,"An instrument for eating, with 3 or 4 sharp points called tines, all in the same direction."
forlorn,"b""forlorn (comparative forlorner or more forlorn, superlative forlornest or most forlorn)\nAbandoned, deserted, left behind.1578\xe2\x80\x931579,  Ed[mund] Sp[enser],  \xe2\x80\x9cProsopopoia. Or Mother Hubberds Tale. [...] Dedicated to the Right Honorable the Ladie Compton and Mountegle\xe2\x80\x9d, in  Complaints. Containing Sundrie Small Poemes of the Worlds Vanitie. Whereof the Next Page Maketh Mention\xe2\x80\x8e[1], London: Imprinted for VVilliam Ponsonbie, dwelling in Paules Churchyard at the signe of the Bishops head, published 1591, OCLC 84758486:For mi\xc5\xbferie doth braue\xc5\xbft mindes abate, / And make them \xc5\xbfeeke for that they wont to \xc5\xbfcorne, / Of fortune and of hope at once forlorne.c. 1588\xe2\x80\x931593,  [William Shakespeare],  The Most Lamentable Romaine Tragedie of Titus Andronicus: As It was Plaide by the Right Honourable the Earle of Darbie, Earle of Pembrooke, and Earle of Sussex Their Seruants (the First Quarto), London: Printed by Iohn Danter, and are to be sold by Edward White & Thomas Millington, at the little North doore of Paules at the signe of the Gunne, published 1594, OCLC 222241046, [Act II, scene iii]:Some \xc5\xbfay that Rauens fo\xc5\xbfter forlorne children, / The whil\xc5\xbft their owne birds fami\xc5\xbfh in their ne\xc5\xbfts: / Oh be to me though thy hard hart \xc5\xbfay no, / Nothing \xc5\xbfo kinde but \xc5\xbfomething pittiful.\n1578\xe2\x80\x931579,  Ed[mund] Sp[enser],  \xe2\x80\x9cProsopopoia. Or Mother Hubberds Tale. [...] Dedicated to the Right Honorable the Ladie Compton and Mountegle\xe2\x80\x9d, in  Complaints. Containing Sundrie Small Poemes of the Worlds Vanitie. Whereof the Next Page Maketh Mention\xe2\x80\x8e[1], London: Imprinted for VVilliam Ponsonbie, dwelling in Paules Churchyard at the signe of the Bishops head, published 1591, OCLC 84758486:For mi\xc5\xbferie doth braue\xc5\xbft mindes abate, / And make them \xc5\xbfeeke for that they wont to \xc5\xbfcorne, / Of fortune and of hope at once forlorne.\nc. 1588\xe2\x80\x931593,  [William Shakespeare],  The Most Lamentable Romaine Tragedie of Titus Andronicus: As It was Plaide by the Right Honourable the Earle of Darbie, Earle of Pembrooke, and Earle of Sussex Their Seruants (the First Quarto), London: Printed by Iohn Danter, and are to be sold by Edward White & Thomas Millington, at the little North doore of Paules at the signe of the Gunne, published 1594, OCLC 222241046, [Act II, scene iii]:Some \xc5\xbfay that Rauens fo\xc5\xbfter forlorne children, / The whil\xc5\xbft their owne birds fami\xc5\xbfh in their ne\xc5\xbfts: / Oh be to me though thy hard hart \xc5\xbfay no, / Nothing \xc5\xbfo kinde but \xc5\xbfomething pittiful.\nMiserable, as when lonely after being abandoned.1766 March,  [Oliver Goldsmith],  \xe2\x80\x9cA Ballad\xe2\x80\x9d, in  The Vicar of Wakefield: A Tale. Supposed to be Written by Himself, volume I, Salisbury, Wiltshire: Printed by B. Collins, for F[rancis] Newbery, in Pater-Noster-Row, London, OCLC 938500648, page 70:For here forlorn and lo\xc5\xbft I tread, / With fainting \xc5\xbfteps and \xc5\xbflow; / Where wilds immea\xc5\xbfurably \xc5\xbfpread, / Seem lengthening as I go.1857,  William H[ickling] Prescott,  \xe2\x80\x9cWar with France. 1557.\xe2\x80\x9d, in  History of the Reign of Philip the Second, King of Spain, volume I, new edition, London: G[eorge] Routledge & Co., Farringdon Street, page 125:The condition of the besieged, in the mean time, was forlorn in the extreme; not so much from want of food, though their supplies were scanty, as from excessive toil and exposure.1859,  Owen Meredith [pseudonym; Robert Bulwer-Lytton, 1st Earl of Lytton],  \xe2\x80\x9cThe Wanderer\xe2\x80\x9d, in  Poems by Owen Meredith. The Wanderer and Clytemnestra, Boston, Mass.: Ticknor and Fields, OCLC 84569940, prologue, part I, stanza 1, page 17:Sweet are familiar songs, tho' Music dips / Her hollow shell in Thought's forlornest wells: / And sweet, tho' sad, the sound of midnight bells, / When the oped casement with the night-rain drips.1921,  Ben Travers,  A Cuckoo in the Nest, London: The Bodley Head, OCLC 150705804; republished Garden City, N.Y.: Doubleday, 1925, OCLC 9003849, page 67:Sophia broke down here. Even at this moment she was subconsciously comparing her rendering of the part of the forlorn bride with Miss Marie Lohr's.\n1766 March,  [Oliver Goldsmith],  \xe2\x80\x9cA Ballad\xe2\x80\x9d, in  The Vicar of Wakefield: A Tale. Supposed to be Written by Himself, volume I, Salisbury, Wiltshire: Printed by B. Collins, for F[rancis] Newbery, in Pater-Noster-Row, London, OCLC 938500648, page 70:For here forlorn and lo\xc5\xbft I tread, / With fainting \xc5\xbfteps and \xc5\xbflow; / Where wilds immea\xc5\xbfurably \xc5\xbfpread, / Seem lengthening as I go.\n1857,  William H[ickling] Prescott,  \xe2\x80\x9cWar with France. 1557.\xe2\x80\x9d, in  History of the Reign of Philip the Second, King of Spain, volume I, new edition, London: G[eorge] Routledge & Co., Farringdon Street, page 125:The condition of the besieged, in the mean time, was forlorn in the extreme; not so much from want of food, though their supplies were scanty, as from excessive toil and exposure.\n1859,  Owen Meredith [pseudonym; Robert Bulwer-Lytton, 1st Earl of Lytton],  \xe2\x80\x9cThe Wanderer\xe2\x80\x9d, in  Poems by Owen Meredith. The Wanderer and Clytemnestra, Boston, Mass.: Ticknor and Fields, OCLC 84569940, prologue, part I, stanza 1, page 17:Sweet are familiar songs, tho' Music dips / Her hollow shell in Thought's forlornest wells: / And sweet, tho' sad, the sound of midnight bells, / When the oped casement with the night-rain drips.\n1921,  Ben Travers,  A Cuckoo in the Nest, London: The Bodley Head, OCLC 150705804; republished Garden City, N.Y.: Doubleday, 1925, OCLC 9003849, page 67:Sophia broke down here. Even at this moment she was subconsciously comparing her rendering of the part of the forlorn bride with Miss Marie Lohr's.\nUnlikely to succeed.1625,  James Ussher,  \xe2\x80\x9cOf Traditions\xe2\x80\x9d, in  An Ansvver to a Challenge Made by a Iesuite in Ireland. Wherein the Iudgment of Antiquity in the Points Questioned, is Truly Delivered, and the Noveltie of the Now Romish Doctrine Plainely Discovered by Iames Vssher bishop of Meath. Whereunto is Added a Sermon Preached before His Majesty at Wansted, by the Same Author, London: Printed [by Humphrey Lownes] for the Society of Stationers, OCLC 228715552; republished in C[harles] R[ichard] Elrington, editor, The Whole Works of the Most Rev. James Ussher, D.D. Lord Archbishop of Armagh, and Primate of All Ireland, volume III, Dublin: Hodges & Smith; London: Whittaker & Co., [1831], OCLC 49005379, page 41:To begin therefore with Traditions, which is your forlorn hope that in the first place we are to set upon: this must I needs tell you before we begin, that you much mistake the matter, if you think that traditions of all sorts promiscuously are struck at by our religion.1859,  Charles Dickens,  \xe2\x80\x9cDusk\xe2\x80\x9d, in  A Tale of Two Cities, book III (The Track of a Storm), London: Chapman and Hall, 193, Piccadilly; and at the office of All the Year Round, 111, Wellington Street North, OCLC 906152507, page 226:Well! It is a forlorn hope at the best, and not much the forlorner for being delayed till dark.1859,  Mowbray Thomson,  chapter VII, in  The Story of Cawnpore, London: Richard Bentley, New Burlington Street, publisher in ordinary to Her Majesty, OCLC 973229909, pages 119\xe2\x80\x93120:Mrs. Blair had lost her husband, who was a cavalry officer, in Cabool, at the memorable Khyber Pass; but as no precise tidings of his death had every been received, she cherished the forlorn hope that he was still living in captivity among the Affghans, and that some day it would be her happiness yet to be reunited with him, even on earth.\n1625,  James Ussher,  \xe2\x80\x9cOf Traditions\xe2\x80\x9d, in  An Ansvver to a Challenge Made by a Iesuite in Ireland. Wherein the Iudgment of Antiquity in the Points Questioned, is Truly Delivered, and the Noveltie of the Now Romish Doctrine Plainely Discovered by Iames Vssher bishop of Meath. Whereunto is Added a Sermon Preached before His Majesty at Wansted, by the Same Author, London: Printed [by Humphrey Lownes] for the Society of Stationers, OCLC 228715552; republished in C[harles] R[ichard] Elrington, editor, The Whole Works of the Most Rev. James Ussher, D.D. Lord Archbishop of Armagh, and Primate of All Ireland, volume III, Dublin: Hodges & Smith; London: Whittaker & Co., [1831], OCLC 49005379, page 41:To begin therefore with Traditions, which is your forlorn hope that in the first place we are to set upon: this must I needs tell you before we begin, that you much mistake the matter, if you think that traditions of all sorts promiscuously are struck at by our religion.\n1859,  Charles Dickens,  \xe2\x80\x9cDusk\xe2\x80\x9d, in  A Tale of Two Cities, book III (The Track of a Storm), London: Chapman and Hall, 193, Piccadilly; and at the office of All the Year Round, 111, Wellington Street North, OCLC 906152507, page 226:Well! It is a forlorn hope at the best, and not much the forlorner for being delayed till dark.\n1859,  Mowbray Thomson,  chapter VII, in  The Story of Cawnpore, London: Richard Bentley, New Burlington Street, publisher in ordinary to Her Majesty, OCLC 973229909, pages 119\xe2\x80\x93120:Mrs. Blair had lost her husband, who was a cavalry officer, in Cabool, at the memorable Khyber Pass; but as no precise tidings of his death had every been received, she cherished the forlorn hope that he was still living in captivity among the Affghans, and that some day it would be her happiness yet to be reunited with him, even on earth."""
form,Form is the shape or structure of a person or a thing.
formulate,To formulate is to create something.
forth,outward; forward
fortieth,"fortieth (not comparable)
The ordinal form of the number forty."
forty,The number 40.
forty-nine,
fought,The past tense and past participle of fight.
found,The past tense and past participle of find.
four,The number 4. Four is one more than three and one less than five.
fourteen,"Fourteen is the even number that is after thirteen and before fifteen. In numerals, it is 14."
fourth,The fourth thing is something that is number four  in order.
fox,A small wild animal that is like a dog.
foxes,The plural form of fox; more than one fox.
foyer,"foyer (plural foyers)
A lobby, corridor, or waiting room, used in a hotel, theater, etc.We had a drink in the foyer waiting for the the play to start.
The crucible or basin in a furnace which receives the molten metal.
(Britain) A hostel offering accommodation and work opportunities to homeless young people."
frail,"When a person is frail, he is weak and easy to break down physically and mentally."
frame,The parts of a building that are strong and that hold the other parts up.
Fran,
Frank,
Franklin,
frankly,"b""frankly (comparative franklier or more frankly, superlative frankliest or most frankly)\n(manner) In a frank, open or (too) honest manner.He spoke frankly about the economy.1914, Louis Joseph Vance, Nobody, chapter III:She was frankly disappointed. For some reason she had thought to discover a burglar of one or another accepted type\xe2\x80\x94either a dashing cracksman in full-blown evening dress, lithe, polished, pantherish, or a common yegg, a red-eyed, unshaven burly brute in the rags and tatters of a tramp.\n1914, Louis Joseph Vance, Nobody, chapter III:She was frankly disappointed. For some reason she had thought to discover a burglar of one or another accepted type\xe2\x80\x94either a dashing cracksman in full-blown evening dress, lithe, polished, pantherish, or a common yegg, a red-eyed, unshaven burly brute in the rags and tatters of a tramp.\n(speech act) In truth, to tell the truth.Frankly, my dear, I don't give a damn."""
Fran's,
frantic,"b""frantic (comparative more frantic, superlative most frantic)\n(archaic) Insane, mentally unstable.1526, William Tyndale, trans. Bible, Matthew XV:Master have mercy on my sonne, for he is franticke: and ys sore vexed.c. 1599, William Shakespeare, As You Like It, Act I, Scene 3,[1]If with myself I hold intelligence,Or have acquaintance with mine own desires;If that I do not dream, or be not frantic\xe2\x80\x94As I do trust I am not\xe2\x80\x94then, dear uncle,Never so much as in a thought unbornDid I offend your Highness.\n1526, William Tyndale, trans. Bible, Matthew XV:Master have mercy on my sonne, for he is franticke: and ys sore vexed.\nc. 1599, William Shakespeare, As You Like It, Act I, Scene 3,[1]If with myself I hold intelligence,Or have acquaintance with mine own desires;If that I do not dream, or be not frantic\xe2\x80\x94As I do trust I am not\xe2\x80\x94then, dear uncle,Never so much as in a thought unbornDid I offend your Highness.\nIn a state of panic, worry, frenzy or rush.They returned the missing child to his frantic mother.\nExtremely energeticfrantic music2011 October 1,  Phil McNulty,  \xe2\x80\x9cEverton 0 - 2 Liverpool\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[2]:At the end of a frantic first 45 minutes, there was still time for Charlie Adam to strike the bar from 20 yards before referee Atkinson departed to a deafening chorus of jeering from Everton's fans.\n2011 October 1,  Phil McNulty,  \xe2\x80\x9cEverton 0 - 2 Liverpool\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[2]:At the end of a frantic first 45 minutes, there was still time for Charlie Adam to strike the bar from 20 yards before referee Atkinson departed to a deafening chorus of jeering from Everton's fans."""
fraudulent,"fraudulent (comparative more fraudulent, superlative most fraudulent)
dishonest; based on fraud or deception
false; phonyHe tried to pass a fraudulent check."
freckle,"freckle (plural freckles)
A small brownish or reddish pigmentation spot on the surface of the skin.Steve has brown hair, blue eyes and freckles on his cheeks and nose.
Any small spot or discoloration."
freckles,
Fred,
Frederick,
free,"If something is free, it does not cost money to buy."
freight,"freight (uncountable)
Payment for transportation.The freight was more expensive for cars than for coal.1881, Federal Reporter, 1st Series, Vol. 6, p. 412:Had the ship earned her freight? To earn freight there must, of course, be either a right delivery, or a due and proper offer to deliver the goods to the consignees.
1881, Federal Reporter, 1st Series, Vol. 6, p. 412:Had the ship earned her freight? To earn freight there must, of course, be either a right delivery, or a due and proper offer to deliver the goods to the consignees.
Goods or items in transport.The freight shifted and the trailer turned over on the highway.
Transport of goods.They shipped it ordinary freight to spare the expense.
(figuratively) Cultural or emotional associations.A wedding ring is small, but it has massive emotional freight."
frequent,An event is frequent if it happens many times in a short time.
frequently,"If you do something frequently, you do it often."
fresh,"If something is fresh it is not old, it is new or like new. Often this means not spoiled or rotten."
friends,The plural form of friend; more than one friend.
frighten,"If you frighten somebody, you make them feel afraid."
frightens,The third-person singular form of frighten.
frill,"b'frill (plural frills)\nA strip of pleated material used as decoration or trim; a ruffle.\n(photography) A wrinkled edge to a film.\nA luxury.\nSomething extraneous added for effect.1977,  Agatha Christie,  chapter 4, in  An Autobiography, part II, London: Collins, ISBN 978-0-00-216012-4:Mind you, clothes were clothes in those days. [\xe2\x80\xa6]\xc2\xa0 Frills, ruffles, flounces, lace, complicated seams and gores: not only did they sweep the ground and have to be held up in one hand elegantly as you walked along, but they had little capes or coats or feather boas.\n1977,  Agatha Christie,  chapter 4, in  An Autobiography, part II, London: Collins, ISBN 978-0-00-216012-4:Mind you, clothes were clothes in those days. [\xe2\x80\xa6]\xc2\xa0 Frills, ruffles, flounces, lace, complicated seams and gores: not only did they sweep the ground and have to be held up in one hand elegantly as you walked along, but they had little capes or coats or feather boas.'"
fringe,"Something that is a fringe, is outside what is commonly accepted or outside the mainstream"
frisk,"frisk
(archaic) Lively; briskSynonyms: frolicsome, frisky(Can we find and add a quotation of Bishop Hall to this entry?)"
frog,A small hopping amphibian.
